Date	Start (ET)	Visitor/Neutral	PTS	Home/Neutral	PTS	 	 	Attend.	Arena	Notes	
Thu, Dec 1, 2022	7:00p	Dallas Mavericks	125	Detroit Pistons	131	Box Score	OT	18,106	Little Caesars Arena		
Fri, Dec 2, 2022	7:00p	Washington Wizards	116	Charlotte Hornets	117	Box Score		15,231	Spectrum Center		
Fri, Dec 2, 2022	7:30p	Denver Nuggets	109	Atlanta Hawks	117	Box Score		16,974	State Farm Arena		
Fri, Dec 2, 2022	7:30p	Miami Heat	120	Boston Celtics	116	Box Score	OT	19,156	TD Garden		
Fri, Dec 2, 2022	7:30p	Toronto Raptors	105	Brooklyn Nets	114	Box Score		17,732	Barclays Center		
Fri, Dec 2, 2022	7:30p	Orlando Magic	96	Cleveland Cavaliers	107	Box Score		19,432	Rocket Mortgage Fieldhouse		
Fri, Dec 2, 2022	7:30p	Los Angeles Lakers	133	Milwaukee Bucks	129	Box Score		17,938	Fiserv Forum		
Fri, Dec 2, 2022	8:00p	Philadelphia 76ers	109	Memphis Grizzlies	117	Box Score		17,022	FedEx Forum		
Fri, Dec 2, 2022	8:00p	New Orleans Pelicans	117	San Antonio Spurs	99	Box Score		17,202	AT&T Center		
Fri, Dec 2, 2022	9:00p	Houston Rockets	122	Phoenix Suns	121	Box Score		17,071	Footprint Center		
Fri, Dec 2, 2022	9:00p	Indiana Pacers	119	Utah Jazz	139	Box Score		18,206	Vivint Arena		
Fri, Dec 2, 2022	10:00p	Chicago Bulls	111	Golden State Warriors	119	Box Score		18,064	Chase Center		
Sat, Dec 3, 2022	12:30p	Dallas Mavericks	121	New York Knicks	100	Box Score		18,319	Madison Square Garden (IV)		
Sat, Dec 3, 2022	4:00p	Sacramento Kings	123	Los Angeles Clippers	96	Box Score		16,587	Crypto.com Arena		
Sat, Dec 3, 2022	6:00p	Milwaukee Bucks	105	Charlotte Hornets	96	Box Score		18,128	Spectrum Center		
Sat, Dec 3, 2022	8:00p	Oklahoma City Thunder	135	Minnesota Timberwolves	128	Box Score		17,136	Target Center		
Sat, Dec 3, 2022	8:00p	Orlando Magic	108	Toronto Raptors	121	Box Score		19,800	Scotiabank Arena		
Sat, Dec 3, 2022	8:30p	Houston Rockets	101	Golden State Warriors	120	Box Score		18,064	Chase Center		
Sat, Dec 3, 2022	9:00p	Portland Trail Blazers	116	Utah Jazz	111	Box Score		18,206	Vivint Arena		
Sun, Dec 4, 2022	3:30p	Denver Nuggets	106	New Orleans Pelicans	121	Box Score		15,658	Smoothie King Center		
Sun, Dec 4, 2022	4:00p	Phoenix Suns	133	San Antonio Spurs	95	Box Score		16,409	AT&T Center		
Sun, Dec 4, 2022	6:00p	Boston Celtics	103	Brooklyn Nets	92	Box Score		18,043	Barclays Center		
Sun, Dec 4, 2022	6:00p	Memphis Grizzlies	122	Detroit Pistons	112	Box Score		20,088	Little Caesars Arena		
Sun, Dec 4, 2022	6:00p	Cleveland Cavaliers	81	New York Knicks	92	Box Score		19,007	Madison Square Garden (IV)		
Sun, Dec 4, 2022	6:00p	Chicago Bulls	101	Sacramento Kings	110	Box Score		17,611	Golden 1 Center		
Date	Start (ET)	Visitor/Neutral	PTS	Home/Neutral	PTS	 	 	Attend.	Arena	Notes	
Sun, Dec 4, 2022	6:00p	Los Angeles Lakers	130	Washington Wizards	119	Box Score		19,647	Capital One Arena		
Sun, Dec 4, 2022	9:00p	Indiana Pacers	100	Portland Trail Blazers	116	Box Score		17,479	Moda Center		
Mon, Dec 5, 2022	7:00p	Los Angeles Clippers	119	Charlotte Hornets	117	Box Score		13,945	Spectrum Center		
Mon, Dec 5, 2022	7:00p	Milwaukee Bucks	109	Orlando Magic	102	Box Score		16,174	Amway Center		
Mon, Dec 5, 2022	7:30p	Oklahoma City Thunder	121	Atlanta Hawks	114	Box Score		16,301	State Farm Arena		
Mon, Dec 5, 2022	7:30p	Boston Celtics	116	Toronto Raptors	110	Box Score		19,800	Scotiabank Arena		
Mon, Dec 5, 2022	8:00p	Philadelphia 76ers	123	Houston Rockets	132	Box Score	2OT	15,331	Toyota Center		
Mon, Dec 5, 2022	8:00p	Miami Heat	93	Memphis Grizzlies	101	Box Score		16,122	FedEx Forum		
Mon, Dec 5, 2022	8:30p	Phoenix Suns	111	Dallas Mavericks	130	Box Score		20,227	American Airlines Center		
Mon, Dec 5, 2022	10:00p	Indiana Pacers	112	Golden State Warriors	104	Box Score		18,064	Chase Center		
