Date;Start (ET);Visitor/Neutral;PTS;Home/Neutral;PTS;Box;Extra;Attend.;Arena;Notes;Type Game;;Date;Visitor/Neutral;Result;;Date;Home/Neutral;Result
Tue, Oct 18, 2022;7:30p;Philadelphia 76ers;117;Boston Celtics;126;Box Score;;19,156;TD Garden;;season;;Tue, Oct 18, 2022;Philadelphia 76ers;0;;Tue, Oct 18, 2022;Boston Celtics;1
Tue, Oct 18, 2022;10:00p;Los Angeles Lakers;109;Golden State Warriors;123;Box Score;;18,064;Chase Center;;season;;Tue, Oct 18, 2022;Los Angeles Lakers;0;;Tue, Oct 18, 2022;Golden State Warriors;1
Wed, Oct 19, 2022;7:00p;Orlando Magic;109;Detroit Pistons;113;Box Score;;20,190;Little Caesars Arena;;season;;Wed, Oct 19, 2022;Orlando Magic;0;;Wed, Oct 19, 2022;Detroit Pistons;1
Wed, Oct 19, 2022;7:00p;Washington Wizards;114;Indiana Pacers;107;Box Score;;15,027;Gainbridge Fieldhouse;;season;;Wed, Oct 19, 2022;Washington Wizards;1;;Wed, Oct 19, 2022;Indiana Pacers;0
Wed, Oct 19, 2022;7:30p;Houston Rockets;107;Atlanta Hawks;117;Box Score;;17,878;State Farm Arena;;season;;Wed, Oct 19, 2022;Houston Rockets;0;;Wed, Oct 19, 2022;Atlanta Hawks;1
Wed, Oct 19, 2022;7:30p;New Orleans Pelicans;130;Brooklyn Nets;108;Box Score;;18,003;Barclays Center;;season;;Wed, Oct 19, 2022;New Orleans Pelicans;1;;Wed, Oct 19, 2022;Brooklyn Nets;0
Wed, Oct 19, 2022;7:30p;New York Knicks;112;Memphis Grizzlies;115;Box Score;OT;18,202;FedEx Forum;;season;;Wed, Oct 19, 2022;New York Knicks;0;;Wed, Oct 19, 2022;Memphis Grizzlies;1
Wed, Oct 19, 2022;7:30p;Chicago Bulls;116;Miami Heat;108;Box Score;;19,600;Kaseya Center;;season;;Wed, Oct 19, 2022;Chicago Bulls;1;;Wed, Oct 19, 2022;Miami Heat;0
Wed, Oct 19, 2022;7:30p;Cleveland Cavaliers;105;Toronto Raptors;108;Box Score;;19,800;Scotiabank Arena;;season;;Wed, Oct 19, 2022;Cleveland Cavaliers;0;;Wed, Oct 19, 2022;Toronto Raptors;1
Wed, Oct 19, 2022;8:00p;Oklahoma City Thunder;108;Minnesota Timberwolves;115;Box Score;;17,136;Target Center;;season;;Wed, Oct 19, 2022;Oklahoma City Thunder;0;;Wed, Oct 19, 2022;Minnesota Timberwolves;1
