Date;Start (ET);Visitor/Neutral;PTS;Home/Neutral;PTS;Box;Extra;Attend.;Arena;Notes;Type Game
Sat, Apr 29, 2023;8:30p;Phoenix Suns;107;Denver Nuggets;125;Box Score;;19,762;Ball Arena;;Conference Semifinals
Sun, Apr 30, 2023;1:00p;Miami Heat;108;New York Knicks;101;Box Score;;19,812;Madison Square Garden (IV);;Conference Semifinals
Sun, Apr 30, 2023;3:30p;Golden State Warriors;120;Sacramento Kings;100;Box Score;;18,253;Golden 1 Center;;Conference Semifinals
Mon, May 1, 2023;7:30p;Philadelphia 76ers;119;Boston Celtics;115;Box Score;;19,156;TD Garden;;Conference Semifinals
Mon, May 1, 2023;10:00p;Phoenix Suns;87;Denver Nuggets;97;Box Score;;19,592;Ball Arena;;Conference Semifinals
Tue, May 2, 2023;7:30p;Miami Heat;105;New York Knicks;111;Box Score;;19,812;Madison Square Garden (IV);;Conference Semifinals
Tue, May 2, 2023;10:00p;Los Angeles Lakers;117;Golden State Warriors;112;Box Score;;18,064;Chase Center;;Conference Semifinals
Wed, May 3, 2023;8:00p;Philadelphia 76ers;87;Boston Celtics;121;Box Score;;19,156;TD Garden;;Conference Semifinals
Thu, May 4, 2023;9:00p;Los Angeles Lakers;100;Golden State Warriors;127;Box Score;;18,064;Chase Center;;Conference Semifinals
Fri, May 5, 2023;7:30p;Boston Celtics;114;Philadelphia 76ers;102;Box Score;;21,290;Wells Fargo Center;;Conference Semifinals
Fri, May 5, 2023;10:00p;Denver Nuggets;114;Phoenix Suns;121;Box Score;;17,071;Footprint Center;;Conference Semifinals
Sat, May 6, 2023;3:30p;New York Knicks;86;Miami Heat;105;Box Score;;19,927;Kaseya Center;;Conference Semifinals
Sat, May 6, 2023;8:30p;Golden State Warriors;97;Los Angeles Lakers;127;Box Score;;18,997;Crypto.com Arena;;Conference Semifinals
Sun, May 7, 2023;3:30p;Boston Celtics;115;Philadelphia 76ers;116;Box Score;OT;21,264;Wells Fargo Center;;Conference Semifinals
Sun, May 7, 2023;8:00p;Denver Nuggets;124;Phoenix Suns;129;Box Score;;17,071;Footprint Center;;Conference Semifinals
Mon, May 8, 2023;7:30p;New York Knicks;101;Miami Heat;109;Box Score;;19,769;Kaseya Center;;Conference Semifinals
Mon, May 8, 2023;10:00p;Golden State Warriors;101;Los Angeles Lakers;104;Box Score;;18,997;Crypto.com Arena;;Conference Semifinals
Tue, May 9, 2023;7:30p;Philadelphia 76ers;115;Boston Celtics;103;Box Score;;19,156;TD Garden;;Conference Semifinals
Tue, May 9, 2023;10:00p;Phoenix Suns;102;Denver Nuggets;118;Box Score;;19,773;Ball Arena;;Conference Semifinals
Wed, May 10, 2023;7:30p;Miami Heat;103;New York Knicks;112;Box Score;;19,812;Madison Square Garden (IV);;Conference Semifinals
Wed, May 10, 2023;10:00p;Los Angeles Lakers;106;Golden State Warriors;121;Box Score;;18,064;Chase Center;;Conference Semifinals
Thu, May 11, 2023;7:30p;Boston Celtics;95;Philadelphia 76ers;86;Box Score;;21,337;Wells Fargo Center;;Conference Semifinals
Thu, May 11, 2023;10:00p;Denver Nuggets;125;Phoenix Suns;100;Box Score;;17,071;Footprint Center;;Conference Semifinals
Fri, May 12, 2023;7:30p;New York Knicks;92;Miami Heat;96;Box Score;;19,737;Kaseya Center;;Conference Semifinals
Fri, May 12, 2023;10:00p;Golden State Warriors;101;Los Angeles Lakers;122;Box Score;;18,997;Crypto.com Arena;;Conference Semifinals
Sun, May 14, 2023;3:30p;Philadelphia 76ers;88;Boston Celtics;112;Box Score;;19,156;TD Garden;;Conference Semifinals
