Date;Start (ET);Visitor/Neutral;PTS;Home/Neutral;PTS;Box;Extra;Attend.;Arena;Notes;Type Game
Tue, May 16, 2023;8:30p;Los Angeles Lakers;126;Denver Nuggets;132;Box Score;;19,633;Ball Arena;;Conference Finals
Wed, May 17, 2023;8:30p;Miami Heat;123;Boston Celtics;116;Box Score;;19,156;TD Garden;;Conference Finals
Thu, May 18, 2023;8:30p;Los Angeles Lakers;103;Denver Nuggets;108;Box Score;;19,742;Ball Arena;;Conference Finals
Fri, May 19, 2023;8:30p;Miami Heat;111;Boston Celtics;105;Box Score;;19,156;TD Garden;;Conference Finals
Sat, May 20, 2023;8:30p;Denver Nuggets;119;Los Angeles Lakers;108;Box Score;;18,997;Crypto.com Arena;;Conference Finals
Sun, May 21, 2023;8:30p;Boston Celtics;102;Miami Heat;128;Box Score;;20,088;Kaseya Center;;Conference Finals
Mon, May 22, 2023;8:30p;Denver Nuggets;113;Los Angeles Lakers;111;Box Score;;18,997;Crypto.com Arena;;Conference Finals
Tue, May 23, 2023;8:30p;Boston Celtics;116;Miami Heat;99;Box Score;;20,147;Kaseya Center;;Conference Finals
Thu, May 25, 2023;8:30p;Miami Heat;97;Boston Celtics;110;Box Score;;19,156;TD Garden;;Conference Finals
Sat, May 27, 2023;8:30p;Boston Celtics;104;Miami Heat;103;Box Score;;20,201;Kaseya Center;;Conference Finals
Mon, May 29, 2023;8:30p;Miami Heat;103;Boston Celtics;84;Box Score;;19,156;TD Garden;;Conference Finals
