Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
2004-05	BOS	71	1	1,051	475	195	369	.528	0	3	.000	85	135	.630	119	193	312	24	22	55	66	195	
2005-06	BOS	59	7	1,062.2	464	189	379	.499	0	4	.000	86	134	.642	97	202	299	30	30	46	62	166	
2006-07	BOS	69	60	2,319.4	1,107	453	882	.514	0	1	.000	201	295	.681	237	519	756	88	48	106	136	232	
2007-08	MIN	82	82	2,918.8	1,726	721	1,441	.500	0	5	.000	284	394	.721	308	603	911	117	74	119	167	222	
2008-09	MIN	50	50	1,835.8	1,156	485	975	.497	0	4	.000	186	252	.738	172	376	548	79	39	83	92	141	
2009-10	MIN	76	76	2,463.2	1,301	560	1,125	.498	0	4	.000	181	266	.680	180	523	703	137	63	98	136	205	
2010-11	UTH	82	82	2,940.4	1,528	654	1,319	.496	0	0	.000	220	289	.761	235	559	794	149	46	153	105	238	
2011-12	UTH	61	61	2,075	1,170	516	1,048	.492	1	4	.250	137	177	.774	133	452	585	134	47	101	62	155	
2012-13	UTH	78	78	2,578.2	1,391	611	1,236	.494	2	17	.118	167	217	.770	156	564	720	164	80	89	105	170	
2013-14	CHA	73	73	2,553.2	1,594	700	1,376	.509	3	15	.200	191	277	.690	156	636	792	155	67	79	124	176	
2014-15	CHA	65	61	1,991.8	1,082	486	1,010	.481	2	5	.400	108	165	.655	99	449	548	113	47	84	68	139	
2015-16	CHA	47	18	1,096.4	562	245	505	.485	0	0	.000	72	111	.649	57	244	301	70	30	41	34	117	
2016-17	IND	66	1	930.6	535	235	471	.499	0	1	.000	65	85	.765	75	203	278	57	19	16	33	125	
2017-18	IND	36	1	483.5	252	111	208	.534	0	3	.000	30	36	.833	30	113	143	30	16	23	21	66	
CAREER	 	915	651	26,299.5	14,343	6,161	12,344	.499	8	66	.121	2,013	2,833	.711	2,054	5,636	7,690	1,347	628	1,093	1,211	2,347	
