Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
1975-76
☆	PHX	80	-	2,656	1,519	629	1,341	.469	-	-	-	261	355	.735	215	512	727	450	121	116	-	274	
1976-77	PHX	72	-	2,278	1,296	522	1,102	.474	-	-	-	252	334	.754	180	472	652	322	95	87	-	260	
1977-78	PHX	70	-	1,914	1,082	434	895	.485	-	-	-	214	293	.730	158	407	565	225	86	63	234	242	
1978-79	PHX	77	-	2,364	1,369	569	1,073	.530	-	-	-	231	289	.799	220	485	705	360	110	63	279	246	
1979-80	PHX	75	-	2,168	1,118	465	875	.531	0	2	.000	188	236	.797	158	451	609	322	108	55	218	237	
1980-81	PHX	75	-	2,054	1,115	458	870	.526	0	0	.000	199	259	.768	157	389	546	344	106	69	226	226	
1981-82	PHX	79	75	2,393	1,196	507	1,027	.494	0	1	.000	182	233	.781	138	448	586	356	114	78	196	269	
1982-83	PHX	80	75	2,447	1,135	477	981	.486	1	3	.333	180	217	.829	161	387	548	376	114	74	242	287	
1983-84	PHX	70	13	1,452	670	269	582	.462	0	4	.000	132	160	.825	118	201	319	219	73	31	117	195	
1984-85	PHX	82	69	2,136	1,202	476	915	.520	0	0	.000	250	283	.883	153	347	500	308	115	48	197	254	
1985-86	PHX	78	45	2,005	841	341	679	.502	0	2	.000	159	203	.783	148	329	477	324	102	46	206	271	
1986-87	PHX	68	40	1,690	756	311	621	.501	0	1	.000	134	170	.788	91	247	338	220	62	37	139	207	
1987-88	PHX	82	25	1,646	611	251	506	.496	1	2	.500	108	128	.844	118	247	365	183	82	41	140	245	
CAREER	 	988	342	27,203	13,910	5,709	11,467	.498	2	15	.133	2,490	3,160	.788	2,015	4,922	6,937	4,009	1,288	808	2,194	3,213	
