Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
2004-05	PHL	82	82	32.8	9.04	3.28	6.66	.493	0.57	1.73	.331	1.90	2.56	.743	1.09	4.57	5.66	3.00	1.68	0.59	1.70	2.49	
2005-06	PHL	82	82	37.6	12.28	4.20	8.39	.500	0.68	1.93	.354	3.21	4.26	.754	1.43	4.44	5.87	3.11	1.65	0.26	1.87	2.41	
2006-07	PHL	76	76	40.3	18.24	5.83	13.04	.447	0.63	2.04	.310	5.95	7.25	.820	1.01	4.70	5.71	5.68	2.00	0.43	3.43	2.63	
2007-08	PHL	82	82	39.5	19.88	7.10	15.57	.456	1.23	3.74	.329	4.45	6.17	.721	1.04	4.40	5.44	4.77	2.09	0.60	2.61	2.28	
2008-09	PHL	82	82	39.9	18.79	6.61	13.99	.473	0.98	3.18	.307	4.60	6.35	.724	1.12	4.62	5.74	5.29	1.60	0.44	2.71	1.85	
2009-10	PHL	82	82	38.9	17.09	6.05	13.66	.443	1.15	3.70	.310	3.84	5.24	.733	1.00	5.45	6.45	5.76	1.72	0.67	2.66	1.77	
2010-11	PHL	67	67	36.8	14.10	5.04	11.33	.445	0.91	2.70	.337	3.10	4.48	.693	0.91	4.87	5.78	6.30	1.51	0.57	2.06	1.63	
2011-12
☆	PHL	62	62	35.6	12.44	4.63	10.19	.454	1.23	3.11	.394	1.95	3.16	.617	0.90	5.24	6.15	5.47	1.73	0.48	1.85	1.48	
2012-13	DEN	80	80	34.7	12.97	4.95	10.99	.451	1.14	3.59	.317	1.94	3.38	.574	1.02	4.26	5.29	5.41	1.74	0.65	2.58	1.59	
2013-14	GOS	63	63	32.4	9.33	3.49	7.27	.480	0.98	2.78	.354	1.37	2.10	.652	0.84	3.81	4.65	4.17	1.51	0.29	1.59	1.63	
2014-15	GOS	77	0	26.9	7.84	3.00	6.44	.466	0.96	2.75	.349	0.88	1.48	.596	0.57	2.77	3.34	2.96	1.16	0.32	1.14	1.30	
2015-16	GOS	65	1	26.6	7.03	2.71	5.66	.478	0.83	2.37	.351	0.78	1.28	.614	0.80	3.25	4.05	3.37	1.12	0.29	1.22	1.57	
2016-17	GOS	76	0	26.3	7.55	2.88	5.46	.528	0.84	2.33	.362	0.95	1.34	.706	0.67	3.33	4.00	3.43	1.00	0.51	0.76	1.28	
2017-18	GOS	64	7	25.4	6.00	2.31	5.00	.463	0.52	1.83	.282	0.86	1.36	.632	0.78	3.06	3.84	3.28	0.84	0.59	1.05	1.55	
2018-19	GOS	68	13	23.2	5.72	2.22	4.44	.500	0.71	2.12	.333	0.57	0.99	.582	0.71	3.00	3.71	3.18	0.90	0.75	0.76	1.40	
2019-20	MIA	21	0	19.9	4.57	1.81	4.19	.432	0.67	2.24	.298	0.29	0.71	.400	0.81	2.90	3.71	2.43	0.67	1.00	1.24	1.67	
2020-21	MIA	63	5	21.2	4.37	1.51	3.94	.383	0.95	2.89	.330	0.40	0.60	.658	0.60	2.90	3.51	2.25	0.90	0.56	1.06	1.43	
2021-22	GOS	31	0	19.4	4.00	1.48	3.90	.380	0.55	2.39	.230	0.48	0.65	.750	0.68	2.55	3.23	3.68	0.87	0.71	0.90	1.10	
2022-23	GOS	8	0	14.1	2.12	0.88	1.88	.467	0.12	1.12	.111	0.25	0.38	.667	0.38	1.75	2.12	2.38	0.50	0.38	1.12	1.38	
CAREER	 	1231	784	32.1	11.35	4.08	8.83	.463	0.88	2.66	.330	2.30	3.24	.709	0.91	4.00	4.91	4.18	1.43	0.51	1.82	1.77	
