Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
1999-00	CLE	82	36	2,096	914	339	755	.449	10	49	.204	226	292	.774	85	195	280	476	84	17	166	194	
2000-01	CLE	82	82	2,848	1,296	452	999	.452	17	64	.266	375	450	.833	94	266	360	657	119	28	265	229	
2001-02	CLE	81	81	3,023	1,335	474	1,045	.454	22	87	.253	365	447	.817	108	271	379	882	126	34	245	227	
2002-03	LAC	80	80	2,914	1,088	377	928	.406	23	108	.213	311	391	.795	84	232	316	537	99	11	206	203	
2003-04	DEN	82	82	2,838	1,214	430	941	.457	12	65	.185	342	411	.832	127	239	366	501	142	25	215	194	
2004-05	DEN	82	82	2,852	1,113	427	895	.477	6	39	.154	253	302	.838	100	238	338	569	121	8	220	204	
2005-06	DEN	82	82	2,937.3	1,126	404	872	.463	5	27	.185	313	424	.738	92	259	351	674	106	18	256	213	
2006-07 *	All Teams	80	79	2,965.9	1,075	424	909	.466	5	35	.143	222	283	.784	97	255	352	625	110	10	222	184	
2006-07 *	PHL	57	56	2,144.3	775	307	661	.464	1	19	.053	160	198	.808	72	176	248	416	73	6	152	126	
2006-07 *	DEN	23	23	821.6	300	117	248	.472	4	16	.250	62	85	.729	25	79	104	209	37	4	70	58	
2007-08	PHL	82	82	3,015.9	1,398	569	1,156	.492	3	34	.088	257	333	.772	95	229	324	565	105	6	206	181	
2008-09	PHL	82	82	2,976.2	1,337	492	1,041	.473	15	53	.283	338	409	.826	123	245	368	534	109	14	199	196	
2009-10	POR	82	66	2,499.7	1,146	404	908	.445	16	80	.200	322	392	.821	81	185	266	445	93	9	173	169	
2010-11	POR	81	81	2,649.7	1,029	388	844	.460	4	37	.108	249	292	.853	97	205	302	566	114	12	197	171	
2011-12	DEN	66	7	1,808.9	639	242	552	.438	18	83	.217	137	169	.811	53	168	221	441	63	9	177	133	
2012-13	DEN	82	11	2,151.3	786	303	632	.479	17	64	.266	163	194	.840	60	178	238	484	73	11	172	159	
2013-14 *	All Teams	58	2	981.9	283	106	231	.459	11	21	.524	60	77	.779	28	102	130	197	34	9	61	75	
2013-14 *	DEN	30	2	570.3	176	66	144	.458	9	18	.500	35	47	.745	16	57	73	100	15	7	33	32	
2013-14 *	WAS	28	0	411.6	107	40	87	.460	2	3	.667	25	30	.833	12	45	57	97	19	2	28	43	
2014-15 *	All Teams	81	0	1,253.3	355	145	290	.500	7	34	.206	58	77	.753	37	116	153	284	32	6	104	103	
2014-15 *	WAS	51	0	631.3	183	77	142	.542	1	8	.125	28	39	.718	21	56	77	143	14	2	46	56	
2014-15 *	SAC	30	0	622.1	172	68	148	.459	6	26	.231	30	38	.789	16	60	76	141	18	4	58	47	
2015-16 *	All Teams	39	4	461.2	144	59	106	.557	2	8	.250	24	32	.750	12	39	51	87	16	0	37	46	
2015-16 *	MIN	26	0	280.5	88	36	58	.621	1	4	.250	15	19	.789	6	18	24	58	9	0	25	32	
2015-16 *	SAN	13	4	180.7	56	23	48	.479	1	4	.250	9	13	.692	6	21	27	29	7	0	12	14	
CAREER	 	1304	939	40,272.2	16,278	6,035	13,104	.461	193	888	.217	4,015	4,975	.807	1,373	3,422	4,795	8,524	1,546	227	3,121	2,881	
