Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
1998-99	GOS	47	24	1,058	449	178	394	.452	3	10	.300	90	153	.588	131	170	301	34	38	16	68	102	
1999-00	GOS	43	41	1,556	841	356	756	.471	2	7	.286	127	208	.611	172	187	359	90	30	15	113	115	
2000-01	GOS	82	82	3,394	2,044	800	1,812	.442	62	205	.302	382	534	.715	280	435	715	164	114	28	199	225	
2001-02	GOS	82	82	3,033	1,619	614	1,375	.447	68	210	.324	323	440	.734	211	345	556	161	70	45	161	186	
2002-03	GOS	82	82	3,226	1,822	691	1,471	.470	65	209	.311	375	475	.789	195	383	578	156	76	45	177	197	
2003-04	DAL	82	2	2,376	1,212	488	913	.535	16	40	.400	220	294	.748	233	287	520	70	83	30	81	174	
2004-05
☆	WAS	68	68	2,605	1,334	519	1,189	.437	71	208	.341	225	296	.760	160	359	519	154	55	16	118	151	
2005-06	WAS	82	80	3,288.1	1,684	660	1,494	.442	147	373	.394	217	297	.731	167	598	765	158	90	12	137	189	
2006-07	WAS	70	70	2,661.6	1,388	512	1,139	.450	138	379	.364	226	307	.736	134	428	562	136	80	36	104	194	
2007-08
☆	WAS	79	79	3,060	1,689	618	1,417	.436	120	354	.339	333	438	.760	215	591	806	120	106	34	113	195	
2008-09	WAS	81	81	3,095.8	1,801	674	1,441	.468	112	319	.351	341	452	.754	196	525	721	153	95	25	125	218	
2009-10 *	All Teams	66	64	2,405.8	1,235	478	1,036	.461	85	247	.344	194	300	.647	136	419	555	84	71	21	91	179	
2009-10 *	WAS	41	41	1,594.8	840	315	700	.450	58	168	.345	152	217	.700	99	263	362	52	43	9	61	112	
2009-10 *	CLE	25	23	811	395	163	336	.485	27	79	.342	42	83	.506	37	156	193	32	28	12	30	67	
2010-11	CLE	56	38	1,842.2	1,010	374	876	.427	91	263	.346	171	234	.731	86	289	375	93	50	30	77	137	
2011-12	CLE	65	65	2,151	1,118	421	1,044	.403	91	267	.341	185	271	.683	123	285	408	131	51	43	90	164	
2012-13	LAL	76	6	1,635.6	712	267	575	.464	84	233	.361	94	136	.691	109	253	362	50	30	22	53	124	
2013-14	LAC	22	0	247.6	84	29	92	.315	8	41	.195	18	25	.720	9	46	55	7	9	3	7	29	
CAREER	 	1083	864	37,635.6	20,042	7,679	17,024	.451	1,163	3,365	.346	3,521	4,860	.724	2,557	5,600	8,157	1,761	1,048	421	1,714	2,579	
