Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
2008-09	NJN	82	75	30.5	13.02	5.46	10.29	.531	0.00	0.02	.000	2.10	2.65	.793	2.74	5.37	8.11	1.05	0.54	1.84	1.79	3.13	
2009-10	NJN	82	82	36.9	18.80	6.87	13.77	.499	0.00	0.02	.000	5.07	6.21	.817	3.29	5.35	8.65	2.28	0.67	1.70	2.49	3.06	
2010-11	NJN	82	82	35.2	20.40	7.85	15.96	.492	0.00	0.01	.000	4.70	5.96	.787	2.40	3.55	5.95	1.57	0.57	1.46	2.15	2.93	
2011-12	NJN	5	5	27.2	19.20	7.60	15.40	.494	0.00	0.00	.000	4.00	6.40	.625	1.60	2.00	3.60	1.20	0.20	0.80	1.20	1.60	
2012-13
☆	BRK	74	74	30.5	19.42	7.70	14.78	.521	0.00	0.01	.000	4.01	5.30	.758	2.81	4.11	6.92	0.95	0.45	2.08	1.77	2.05	
2013-14	BRK	17	17	31.4	20.71	7.59	13.47	.563	0.00	0.06	.000	5.53	6.76	.817	2.29	3.71	6.00	0.94	0.53	1.76	1.65	3.06	
2014-15	BRK	72	44	29.2	17.17	7.03	13.71	.513	0.01	0.14	.100	3.10	3.81	.814	2.97	4.46	7.43	0.69	0.60	1.75	1.44	2.86	
2015-16	BRK	73	73	33.7	20.56	8.10	15.85	.511	0.03	0.19	.143	4.34	5.52	.787	2.79	5.05	7.85	2.01	0.79	1.70	2.40	2.95	
2016-17	BRK	75	75	29.6	20.52	7.40	15.63	.474	1.79	5.16	.346	3.93	4.85	.810	1.61	3.76	5.37	2.35	0.51	1.65	2.45	2.56	
2017-18	LAL	74	72	23.4	12.99	4.99	10.72	.465	1.51	4.39	.345	1.50	2.14	.703	1.00	2.97	3.97	1.70	0.41	1.32	1.32	2.64	
2018-19	MIL	81	81	28.7	12.46	4.38	9.70	.452	2.31	6.32	.365	1.38	1.64	.842	0.41	4.48	4.89	1.21	0.63	2.21	1.01	2.33	
2019-20	MIL	68	67	26.7	11.96	4.29	9.87	.435	1.50	4.78	.314	1.87	2.24	.836	0.85	3.74	4.59	1.46	0.68	2.40	1.03	2.40	
2020-21	MIL	70	70	27.2	12.27	4.60	9.14	.503	1.36	4.01	.338	1.71	2.03	.845	1.49	3.47	4.96	0.71	0.57	1.47	0.91	2.13	
2021-22	MIL	13	11	23.0	12.38	4.69	10.08	.466	1.46	4.08	.358	1.54	1.77	.870	1.46	2.62	4.08	0.46	0.62	1.15	0.92	2.62	
2022-23	MIL	78	78	30.4	15.88	6.12	11.53	.531	1.74	4.67	.374	1.91	2.44	.784	2.01	4.65	6.67	1.27	0.47	2.47	1.37	2.60	
CAREER	 	946	906	30.2	16.37	6.26	12.60	.497	0.83	2.41	.346	3.02	3.80	.795	2.04	4.22	6.27	1.42	0.57	1.82	1.68	2.65	
