Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
1983-84	LAL	74	49	1,637	788	334	690	.484	8	34	.235	112	139	.806	50	114	164	177	81	19	116	174	
1984-85	LAL	81	65	2,305	1,295	541	1,003	.539	26	60	.433	187	228	.820	57	153	210	244	100	17	138	197	
1985-86	LAL	76	62	2,184	1,174	507	989	.513	22	61	.361	138	176	.784	55	134	189	164	85	15	110	167	
1986-87	LAL	82	82	2,729	1,397	554	1,134	.489	65	149	.436	224	251	.892	63	223	286	281	125	18	144	163	
1987-88	LAL	81	81	3,048	1,754	710	1,348	.527	62	179	.346	272	317	.858	76	257	333	335	155	27	161	204	
1988-89	LAL	74	73	2,605	1,448	588	1,198	.491	77	193	.399	195	226	.863	72	230	302	231	114	27	157	181	
1989-90	LAL	77	77	2,593	1,197	472	1,005	.470	93	220	.423	160	209	.766	51	191	242	274	77	31	122	180	
1990-91	LAL	82	82	2,630	1,191	501	1,051	.477	71	219	.324	118	148	.797	54	192	246	177	95	21	85	146	
1991-92	LAL	82	82	2,679	1,218	460	1,005	.458	54	157	.344	244	291	.838	74	236	310	226	105	28	119	140	
1992-93	LAL	58	52	1,678	792	296	659	.449	44	135	.326	156	184	.848	27	107	134	157	55	13	70	98	
1993-94	IND	67	2	1,197	696	256	548	.467	27	74	.365	157	195	.805	19	91	110	133	62	9	103	80	
1994-95	IND	80	2	1,528	802	265	583	.455	79	203	.389	193	227	.850	18	133	151	108	61	13	119	123	
1995-96	VAN	80	0	1,894	819	271	676	.401	74	221	.335	203	243	.835	40	152	192	123	63	22	100	126	
1996-97	LAL	79	8	1,440	526	163	379	.430	73	188	.388	127	151	.841	21	97	118	99	46	16	53	72	
CAREER	 	1073	717	30,147	15,097	5,918	12,268	.482	775	2,093	.370	2,486	2,985	.833	677	2,310	2,987	2,729	1,224	276	1,597	2,051	
