Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
1970-71	SDR	82	-	2,020	1,298	471	1,029	.458	-	-	-	356	434	.820	-	-	245	329	-	-	-	263	
1971-72	HOU	82	-	2,538	1,491	571	1,255	.455	-	-	-	349	392	.890	-	-	258	393	-	-	-	298	
1972-73	HOU	77	-	1,697	1,001	381	820	.465	-	-	-	239	269	.888	-	-	149	262	-	-	-	211	
1973-74	HOU	81	-	2,922	1,652	671	1,285	.522	-	-	-	310	357	.868	51	137	188	603	157	4	-	310	
1974-75	HOU	78	-	2,513	1,455	557	1,152	.484	-	-	-	341	386	.883	52	121	173	381	128	4	-	281	
1975-76	HOU	82	-	2,995	1,722	675	1,369	.493	-	-	-	372	410	.907	52	157	209	596	151	6	-	294	
1976-77	HOU	82	-	2,764	1,464	596	1,216	.490	-	-	-	272	307	.886	54	118	172	386	144	8	-	281	
1977-78	HOU	76	-	2,900	1,949	852	1,737	.491	-	-	-	245	267	.918	57	107	164	259	112	3	173	241	
1978-79
☆	HOU	82	-	2,941	1,660	707	1,424	.496	-	-	-	246	265	.928	78	95	173	351	117	6	187	288	
1979-80	HOU	76	-	2,676	1,520	624	1,267	.493	1	25	.040	271	302	.897	68	82	150	299	143	9	162	269	
1980-81	HOU	76	-	2,014	1,266	528	1,074	.492	4	17	.235	206	215	.958	33	54	87	222	111	6	129	209	
1981-82	HOU	64	0	1,204	655	277	648	.427	1	16	.063	100	110	.909	20	41	61	163	43	1	82	142	
1982-83	HOU	64	0	1,423	816	337	754	.447	4	14	.286	138	150	.920	34	40	74	158	59	4	89	163	
CAREER	 	1002	0	30,607	17,949	7,247	15,030	.482	10	72	.139	3,445	3,864	.892	499	952	2,103	4,402	1,165	51	822	3,250	
