Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
2003-04	DEN	82	82	2994	1725	624	1465	.426	69	214	.322	408	525	.777	183	315	498	227	97	41	247	225	
2004-05	DEN	75	75	2608	1558	530	1230	.431	42	158	.266	456	573	.796	141	285	426	194	68	30	224	229	
2005-06	DEN	80	80	2940.1	2122	756	1572	.481	37	152	.243	573	709	.808	122	272	394	216	88	42	218	229	
2006-07	DEN	65	65	2485.6	1881	691	1453	.476	40	149	.268	459	568	.808	143	248	391	249	77	23	234	203	
2007-08	DEN	77	77	2806.2	1978	728	1481	.492	58	164	.354	464	590	.786	178	393	571	259	98	39	253	253	
2008-09	DEN	66	66	2277.1	1504	535	1207	.443	63	170	.371	371	468	.793	106	344	450	222	75	24	199	195	
2009-10	DEN	69	69	2634.3	1943	688	1502	.458	59	187	.316	508	612	.830	152	302	454	222	88	30	209	225	
2010-11	All Teams	77	77	2751.3	1970	684	1503	.455	95	251	.378	507	605	.838	118	445	563	221	68	46	206	224	
2011-12	NYK	55	55	1876.2	1245	441	1025	.430	68	203	.335	295	367	.804	88	256	344	200	62	24	144	156	
2012-13	NYK	67	67	2481.8	1920	669	1489	.449	157	414	.379	425	512	.830	134	326	460	171	52	32	175	205	
2013-14	NYK	77	77	2981.7	2112	743	1643	.452	167	415	.402	459	541	.848	145	477	622	242	95	51	198	224	
2014-15	NYK	40	40	1427.6	966	358	806	.444	61	179	.341	189	237	.797	72	192	264	122	40	17	89	87	
2015-16	NYK	72	72	2529.8	1573	567	1307	.434	105	310	.339	334	403	.829	98	458	556	299	62	38	176	180	
2016-17	NYK	74	74	2538.1	1659	602	1389	.433	151	421	.359	304	365	.833	62	376	438	213	60	34	153	198	
2017-18	OKC	78	78	2501.5	1261	472	1168	.404	169	474	.357	148	193	.767	67	386	453	103	47	49	99	197	
2018-19	HOU	10	2	294.2	134	49	121	.405	21	64	.328	15	22	.682	9	45	54	5	4	7	8	32	
2019-20	POR	58	58	1902	895	336	782	.430	87	226	.385	136	161	.845	71	297	368	85	49	27	100	171	
2020-21	POR	69	3	1690	924	327	777	.421	133	325	.409	137	154	.890	32	182	214	104	46	38	61	144	
2021-22	LAL	69	3	1793.3	919	319	723	.441	149	397	.375	132	159	.830	62	226	288	68	47	52	59	166	
