Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
1986-87	IND	82	78	2,956	1,541	635	1,358	.468	49	138	.355	222	297	.747	168	509	677	295	90	16	211	310	
1987-88	IND	79	71	2,807	1,341	575	1,252	.459	59	177	.333	132	197	.670	171	365	536	309	73	8	210	266	
1988-89	IND	80	79	3,012	1,728	711	1,453	.489	63	205	.307	243	307	.792	144	372	516	289	83	18	308	285	
1989-90	IND	77	73	2,714	1,515	605	1,242	.487	94	253	.372	211	270	.781	126	319	445	230	53	20	170	217	
1990-91	IND	80	79	2,566	1,474	620	1,231	.504	69	203	.340	165	229	.721	121	296	417	238	56	17	184	221	
1991-92	IND	81	80	2,923	1,497	616	1,284	.480	132	354	.373	133	197	.675	114	312	426	382	68	18	216	247	
1992-93	MIN	78	75	2,985	1,309	541	1,248	.433	118	332	.355	109	168	.649	98	335	433	343	67	30	219	198	
1993-94	MIN	77	38	2,029	894	356	843	.422	100	272	.368	82	108	.759	55	198	253	185	45	12	121	164	
1994-95	SAN	81	1	2,033	872	317	750	.423	172	445	.387	66	102	.647	49	209	258	106	45	12	102	198	
1995-96	SAN	80	16	2,131	873	308	705	.437	190	463	.410	67	104	.644	76	337	413	100	49	26	91	197	
1997-98	SAN	61	11	1,455	409	143	398	.359	95	276	.344	28	37	.757	17	187	204	86	29	10	67	121	
1998-99	CHA	50	21	990	303	112	289	.388	55	157	.350	24	32	.750	17	115	132	60	20	8	41	90	
1999-00	SEA	37	0	340	102	37	123	.301	24	95	.253	4	8	.500	6	47	53	22	5	2	12	56	
CAREER	 	943	622	28,941	13,858	5,576	12,176	.458	1,220	3,370	.362	1,486	2,056	.723	1,162	3,601	4,763	2,645	683	197	1,952	2,570	
