Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
1989-90	POR	82	0	1,565	746	298	751	.397	12	44	.273	138	251	.550	110	198	308	72	53	53	129	226	
1990-91	POR	82	11	1,940	957	373	806	.463	6	19	.316	205	314	.653	123	226	349	151	78	76	133	263	
1991-92	POR	82	7	2,124	1,016	398	854	.466	1	11	.091	219	330	.664	140	276	416	137	85	107	154	274	
1992-93	POR	82	12	2,575	1,570	632	1,336	.473	19	77	.247	287	416	.690	165	377	542	182	98	161	173	287	
1993-94
☆	POR	82	63	2,853	1,647	641	1,404	.457	13	53	.245	352	460	.765	164	386	550	159	118	111	169	263	
1994-95	POR	75	70	2,725	1,601	597	1,320	.452	142	383	.371	265	382	.694	152	271	423	198	79	82	158	240	
1995-96	POR	78	76	2,980	1,644	553	1,306	.423	178	471	.378	360	542	.664	123	320	443	190	86	68	194	248	
1996-97	POR	81	78	3,077	1,224	444	1,043	.426	121	350	.346	215	309	.696	90	231	321	261	99	66	171	251	
1997-98	PHX	80	64	2,359	1,133	429	895	.479	27	84	.321	248	360	.689	152	258	410	170	92	90	140	249	
1998-99	PHX	50	35	1,740	819	299	629	.475	58	139	.417	163	234	.697	69	158	227	128	75	59	88	154	
1999-00	PHX	80	67	2,839	1,478	530	1,142	.464	120	324	.370	298	381	.782	105	254	359	224	90	61	166	239	
2000-01	PHX	82	82	2,751	1,345	501	1,186	.422	90	249	.361	253	357	.709	105	229	334	237	87	82	186	258	
2001-02	DET	80	80	2,853	1,166	454	1,069	.425	115	304	.378	143	206	.694	79	307	386	202	89	95	151	243	
2002-03	DET	81	69	2,825	992	372	935	.398	87	259	.336	161	238	.676	81	237	318	268	87	88	158	259	
2003-04	GOS	82	82	2,845	967	366	945	.387	112	314	.357	123	173	.711	54	268	322	271	68	73	173	237	
2004-05 *	All Teams	71	29	1,689	533	202	523	.386	67	193	.347	62	97	.639	54	155	209	104	62	53	66	181	
2004-05 *	GOS	42	29	1,090	359	141	354	.398	42	127	.331	35	58	.603	31	83	114	74	44	39	41	107	
2004-05 *	NJN	29	0	599	174	61	169	.361	25	66	.379	27	39	.692	23	72	95	30	18	14	25	74	
2005-06	NJN	80	13	1,862.6	550	219	513	.427	60	175	.343	52	79	.658	55	212	267	89	44	40	62	206	
2006-07	NJN	50	1	955.3	203	81	218	.372	25	66	.379	16	36	.444	31	91	122	51	12	23	30	98	
CAREER	 	1380	839	42,557.8	19,591	7,389	16,875	.438	1,253	3,515	.356	3,560	5,165	.689	1,852	4,454	6,306	3,094	1,402	1,388	2,501	4,176	
