Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
1983-84	DAL	67	2	1,059	549	225	493	.456	12	29	.414	87	121	.719	106	144	250	56	41	9	78	118	
1984-85	DAL	72	4	1,314	667	274	603	.454	42	109	.385	77	104	.740	100	138	238	56	46	7	58	131	
1985-86	DAL	72	1	1,086	508	193	470	.411	63	174	.362	59	82	.720	86	82	168	37	40	9	38	78	
1986-87	SEA	82	76	3,073	2,041	785	1,520	.516	86	240	.358	385	489	.787	187	260	447	238	104	32	238	267	
1987-88	SEA	75	73	2,790	1,938	764	1,519	.503	107	259	.413	303	395	.767	167	173	340	197	74	11	172	221	
1988-89
☆	SEA	82	82	3,190	2,253	857	1,710	.501	162	339	.478	377	462	.816	156	186	342	164	108	22	218	197	
1989-90	SEA	55	49	2,033	1,293	502	1,011	.497	96	256	.375	193	236	.818	90	148	238	110	59	7	119	124	
1990-91 *	All Teams	51	24	1,424	857	340	718	.474	57	157	.363	120	166	.723	66	107	173	95	49	8	81	112	
1990-91 *	SEA	30	24	800	451	181	391	.463	27	89	.303	62	84	.738	28	64	92	64	33	3	49	59	
1990-91 *	MIL	21	0	624	406	159	327	.486	30	68	.441	58	82	.707	38	43	81	31	16	5	32	53	
1991-92	MIL	81	11	2,191	1,272	485	1,034	.469	138	329	.419	164	212	.774	92	161	253	104	57	18	119	151	
1992-93	SAN	82	76	2,731	1,366	545	1,092	.499	119	297	.401	157	197	.797	81	231	312	107	78	18	111	179	
1993-94	SAN	77	75	2,590	1,170	478	967	.494	131	332	.395	83	107	.776	70	185	255	80	66	11	75	141	
1994-95	DEN	81	3	1,996	918	351	774	.453	106	263	.403	110	127	.866	56	166	222	57	37	9	81	142	
1995-96	DEN	81	52	2,626	1,204	459	959	.479	150	364	.412	136	179	.760	88	227	315	139	57	7	98	191	
1996-97	DEN	82	51	2,940	1,361	477	1,151	.414	192	528	.364	215	263	.817	99	194	293	165	60	7	146	178	
1997-98	SEA	79	0	1,939	934	348	700	.497	127	274	.464	111	142	.782	51	133	184	89	60	5	74	128	
1998-99	SEA	48	5	1,232	495	174	395	.441	94	217	.433	53	70	.757	25	90	115	38	25	3	45	77	
1999-00 *	All Teams	42	5	564	178	66	159	.415	37	100	.370	9	13	.692	13	43	56	14	13	0	20	45	
1999-00 *	CHA	24	5	240	55	19	58	.328	14	35	.400	3	4	.750	6	16	22	8	7	0	13	22	
1999-00 *	MIL	18	0	324	123	47	101	.465	23	65	.354	6	9	.667	7	27	34	6	6	0	7	23	
CAREER	 	1209	589	34,778	19,004	7,323	15,275	.479	1,719	4,267	.403	2,639	3,365	.784	1,533	2,668	4,201	1,746	974	183	1,771	2,480	
