Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
1976-77
☆	DEN	79	-	2,507	1,765	660	1,282	.515	-	-	-	445	558	.797	211	485	696	177	91	29	-	246	
1977-78	DEN	82	-	2,851	1,746	659	1,287	.512	-	-	-	428	547	.782	253	577	830	304	100	41	259	279	
1978-79	DEN	81	-	2,742	1,380	532	1,030	.517	-	-	-	316	419	.754	240	498	738	255	61	46	171	233	
1979-80	DEN	82	-	2,938	1,951	715	1,416	.505	4	12	.333	517	667	.775	236	483	719	198	88	54	163	190	
1980-81	DEN	80	-	2,641	1,749	614	1,220	.503	2	12	.167	519	684	.759	229	447	676	158	83	53	130	249	
1981-82	DEN	81	81	2,472	1,852	651	1,236	.527	4	6	.667	546	655	.834	174	434	608	179	67	55	169	245	
1982-83	DEN	80	80	2,431	1,726	661	1,296	.510	4	19	.211	400	479	.835	151	445	596	223	83	43	174	227	
1983-84	DEN	76	66	2,076	1,506	569	1,153	.493	4	19	.211	364	428	.850	112	401	513	173	60	44	122	182	
1984-85	DEN	77	9	1,684	984	363	791	.459	1	7	.143	257	319	.806	80	251	331	137	65	31	93	171	
CAREER	 	718	236	22,342	14,659	5,424	10,711	.506	19	75	.253	3,792	4,756	.797	1,686	4,021	5,707	1,804	698	396	1,281	2,022	
