Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
1983-84	DAL	82	1	1,712	469	200	451	.443	3	26	.115	66	98	.673	53	119	172	239	95	21	111	143	
1984-85	DAL	82	1	2,218	790	329	633	.520	21	61	.344	111	154	.721	47	152	199	360	144	37	123	194	
1985-86	DAL	79	39	2,150	965	391	731	.535	12	51	.235	171	229	.747	74	155	229	416	153	23	139	166	
1986-87	DAL	77	76	2,556	1,230	497	993	.501	76	212	.358	160	234	.684	51	148	199	609	167	25	138	195	
1987-88	DAL	82	82	3,032	1,393	536	1,167	.459	60	192	.313	261	344	.759	71	175	246	634	168	35	190	164	
1988-89	DAL	81	81	2,968	1,404	538	1,127	.477	99	278	.356	229	284	.806	46	182	228	570	172	41	205	219	
1989-90	DAL	82	82	3,007	1,473	567	1,161	.488	89	240	.371	250	315	.794	54	190	244	609	187	26	207	224	
1990-91	DAL	77	77	2,879	1,519	572	1,226	.467	89	246	.362	286	391	.731	59	174	233	548	147	14	177	222	
1991-92	DAL	65	64	2,252	1,152	448	1,011	.443	58	186	.312	198	261	.759	49	121	170	373	101	17	154	150	
1992-93	DAL	62	60	2,108	1,126	393	939	.419	101	257	.393	239	316	.756	42	81	123	334	80	16	136	145	
1993-94 *	All Teams	82	55	2,204	791	303	744	.407	73	203	.360	112	163	.687	20	121	141	334	125	8	135	163	
1993-94 *	NYK	54	27	1,311	466	173	402	.430	36	98	.367	84	113	.743	10	76	86	236	80	4	81	117	
1993-94 *	DAL	28	28	893	325	130	342	.380	37	105	.352	28	50	.560	10	45	55	98	45	4	54	46	
1994-95	NYK	80	80	2,716	919	337	756	.446	106	292	.363	139	192	.724	31	163	194	458	79	10	151	219	
1995-96	NYK	82	82	2,893	1,149	436	939	.464	121	325	.372	156	206	.757	32	170	202	352	131	5	178	201	
1996-97	DAL	75	29	2,210	753	299	674	.444	60	176	.341	95	128	.742	30	107	137	321	92	12	132	144	
1997-98	ORL	66	45	1,761	566	226	542	.417	59	164	.360	55	79	.696	23	80	103	233	72	10	101	140	
1998-99	LAL	45	29	1,120	309	120	291	.412	43	117	.368	26	32	.813	13	54	67	187	44	4	52	66	
CAREER	 	1199	883	37,786	16,008	6,192	13,385	.463	1,070	3,026	.354	2,554	3,426	.745	695	2,192	2,887	6,577	1,957	304	2,329	2,755	
