Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
1959-60	SYR	57	-	1,235	706	289	701	.412	-	-	-	128	180	.711	-	-	155	160	-	-	-	98	
1960-61	SYR	78	-	2,070	1,320	540	1,194	.452	-	-	-	240	337	.712	-	-	283	218	-	-	-	169	
1962-63	LAL	80	-	2,544	1,437	547	1,162	.471	-	-	-	343	421	.815	-	-	242	224	-	-	-	189	
1963-64	LAL	78	-	2,620	1,433	541	1,197	.452	-	-	-	351	454	.773	-	-	250	238	-	-	-	233	
1964-65	LAL	74	-	2,026	1,020	375	908	.413	-	-	-	270	338	.799	-	-	200	159	-	-	-	209	
1965-66	NYK	75	-	2,589	1,729	631	1,344	.469	-	-	-	467	605	.772	-	-	310	259	-	-	-	235	
1966-67	NYK	67	-	1,969	1,139	454	949	.478	-	-	-	231	295	.783	-	-	226	161	-	-	-	185	
1967-68
☆	NYK	81	-	2,488	1,461	559	1,159	.482	-	-	-	343	440	.780	-	-	238	242	-	-	-	222	
1968-69	NYK	82	-	2,953	1,442	565	1,220	.463	-	-	-	312	403	.774	-	-	251	291	-	-	-	239	
1969-70	NYK	82	-	2,772	1,220	494	1,039	.475	-	-	-	232	325	.714	-	-	221	298	-	-	-	220	
1970-71	NYK	82	-	2,843	1,273	540	1,184	.456	-	-	-	193	278	.694	-	-	238	225	-	-	-	232	
1971-72	NYK	79	-	2,256	964	401	918	.437	-	-	-	162	215	.753	-	-	153	198	-	-	-	229	
1972-73	NYK	51	-	514	192	88	226	.389	-	-	-	16	30	.533	-	-	41	50	-	-	-	52	
1973-74	NYK	5	-	58	22	10	26	.385	-	-	-	2	3	.667	1	3	4	6	1	0	-	2	
CAREER	 	971	-	28,937	15,358	6,034	13,227	.456	-	-	-	3,290	4,324	.761	1	3	2,812	2,729	1	0	-	2,514	
