Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
1998-99	DAL	47	24	958	385	136	336	.405	14	68	.206	99	128	.773	41	121	162	47	29	27	73	105	
1999-00	DAL	82	81	2938	1435	515	1118	.461	116	306	.379	289	348	.830	102	430	532	203	63	68	141	256	
2000-01	DAL	82	82	3125	1784	591	1247	.474	151	390	.387	451	538	.838	119	635	754	173	79	101	156	245	
2001-02 DAL	76	76	2891	1779	600	1258	.477	139	350	.397	440	516	.853	120	635	755	186	83	77	145	222	
2002-03	DAL	80	80	3118	2011	690	1489	.463	148	390	.379	483	548	.881	81	710	791	239	111	82	152	206	
2003-04	DAL	77	77	2915	1680	605	1310	.462	99	290	.341	371	423	.877	90	580	670	207	92	104	135	216	
2004-05	DAL	78	78	3021	2032	663	1445	.459	91	228	.399	615	708	.869	96	661	757	240	97	119	176	219	
2005-06	DAL	81	81	3089.2	2151	751	1564	.480	110	271	.406	539	598	.901	115	613	728	226	58	83	156	164	
2006-07	DAL	78	78	2820.8	1916	673	1341	.502	72	173	.416	498	551	.904	122	571	693	263	52	62	167	171	
2007-08	DAL	77	77	2768.7	1817	630	1314	.479	79	220	.359	478	544	.879	95	564	659	266	51	71	160	198	
2008-09	DAL	81	81	3050.5	2094	774	1616	.479	61	170	.359	485	545	.890	88	593	681	197	61	63	157	176	
2009-10	DAL	81	80	3038.8	2027	720	1496	.481	51	121	.421	536	586	.915	80	540	620	218	70	79	149	208	
2010-11	DAL	73	73	2504	1681	610	1179	.517	66	168	.393	395	443	.892	50	463	513	190	38	47	137	172	
2011-12	DAL	62	62	2079.1	1342	473	1034	.457	78	212	.368	318	355	.896	46	372	418	136	42	30	117	129	
2012-13	DAL	53	47	1661.4	917	343	728	.471	65	157	.414	166	193	.860	37	326	363	132	38	37	70	93	
2013-14	DAL	80	80	2628.1	1735	633	1273	.497	131	329	.398	338	376	.899	40	458	498	216	73	45	117	165	
2014-15	DAL	77	77	2281.7	1333	487	1062	.459	104	274	.380	255	289	.882	44	413	457	143	39	33	82	160	
2015-16	DAL	75	75	2363.5	1372	498	1112	.448	126	342	.368	250	280	.893	52	437	489	132	52	52	84	161	
2016-17	DAL	54	54	1424.3	769	296	678	.437	79	209	.378	98	112	.875	23	330	353	82	30	38	51	113	
2017-18	DAL	77	77	1900.4	927	346	758	.456	138	337	.409	97	108	.898	22	416	438	120	43	45	51	146	
2018-19	DAL	51	20	795.2	373	135	376	.359	64	205	.312	39	50	.780	5	153	158	35	9	18	18	76	
