Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
1981-82	KCK	74	27	1,517	690	295	643	.459	1	11	.091	99	149	.664	128	194	322	109	50	14	97	210	
1982-83	KCK	82	82	2,933	1,621	677	1,370	.494	20	71	.282	247	317	.779	191	310	501	216	70	20	181	259	
1983-84	KCK	82	82	2,920	1,794	753	1,552	.485	20	64	.313	268	331	.810	165	290	455	296	76	21	213	266	
1984-85	KCK	82	81	3,029	1,876	769	1,565	.491	13	54	.241	325	373	.871	151	256	407	273	83	22	225	237	
1985-86	SAC	82	30	2,514	1,530	623	1,311	.475	4	20	.200	280	343	.816	173	246	419	214	54	17	186	237	
1986-87	SAC	81	30	2,467	1,516	606	1,309	.463	37	118	.314	267	322	.829	146	207	353	251	42	19	163	218	
1987-88	PHX	73	59	2,177	1,294	533	1,110	.480	24	94	.255	204	240	.850	121	197	318	180	33	9	139	190	
1988-89	PHX	70	7	2,042	1,504	608	1,224	.497	71	172	.413	217	250	.868	91	215	306	162	47	7	122	200	
1989-90	PHX	64	4	1,811	1,080	411	907	.453	70	184	.380	188	205	.917	69	177	246	107	32	10	108	174	
1990-91 *	All Teams	81	27	2,087	1,354	543	1,122	.484	39	120	.325	229	257	.891	107	164	271	111	58	9	122	181	
1990-91 *	SEA	66	27	1,775	1,151	455	936	.486	33	99	.333	208	228	.912	91	134	225	94	49	7	98	144	
1990-91 *	PHX	15	0	312	203	88	186	.473	6	21	.286	21	29	.724	16	30	46	17	9	2	24	37	
1991-92	SEA	81	20	2,366	1,386	534	1,164	.459	27	107	.252	291	338	.861	118	174	292	161	55	11	130	199	
1992-93	SEA	82	0	1,869	1,177	463	991	.467	17	56	.304	234	257	.911	124	148	272	135	36	4	134	173	
1993-94	CHA	73	27	1,460	836	339	738	.459	59	150	.393	99	127	.780	80	144	224	125	36	8	84	143	
1995-96	IND	62	1	1,002	475	180	436	.413	45	128	.352	70	79	.886	45	108	153	69	20	4	56	104	
1996-97 *	All Teams	52	2	913	424	160	362	.442	49	131	.374	55	68	.809	27	111	138	52	15	2	47	81	
1996-97 *	IND	28	0	306	147	59	136	.434	9	28	.321	20	27	.741	3	37	40	17	5	1	17	33	
1996-97 *	HOU	24	2	607	277	101	226	.447	40	103	.388	35	41	.854	24	74	98	35	10	1	30	48	
1997-98	HOU	75	1	1,490	633	227	544	.417	66	198	.333	113	136	.831	50	103	153	88	32	3	62	89	
1998-99	HOU	3	0	18	12	6	13	.462	0	1	.000	0	0	.000	0	2	2	1	0	0	2	3	
CAREER	 	1199	480	32,615	19,202	7,727	16,361	.472	562	1,679	.335	3,186	3,792	.840	1,786	3,046	4,832	2,550	739	180	2,071	2,964	
