Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
1999-00	CHI	81	80	2,999	1,627	630	1,306	.482	0	2	.000	367	536	.685	348	462	810	155	66	132	228	259	
2000-01	CHI	74	74	2,906	1,490	578	1,215	.476	0	2	.000	334	472	.708	285	461	746	240	71	118	219	243	
2001-02
☆	LAC	80	80	3,021	1,453	532	1,010	.527	0	0	.000	389	524	.742	396	529	925	191	80	163	173	254	
2002-03	LAC	62	61	2,453	1,146	451	899	.502	0	1	.000	244	356	.685	283	420	703	157	71	158	161	204	
2003-04	LAC	69	68	2,671	1,379	484	982	.493	0	1	.000	411	532	.773	269	445	714	227	64	154	193	229	
2004-05	LAC	81	81	3,001	1,622	629	1,251	.503	0	3	.000	364	484	.752	296	474	770	208	62	169	183	240	
2005-06
☆	LAC	79	79	3,098.7	1,953	756	1,435	.527	1	3	.333	440	568	.775	236	554	790	208	81	201	173	227	
2006-07	LAC	80	80	3,077.5	1,642	645	1,211	.533	1	1	1.000	351	461	.761	268	476	744	235	77	179	202	238	
2007-08	LAC	8	6	273.8	141	52	114	.456	0	0	.000	37	47	.787	21	43	64	16	3	15	17	21	
2008-09	PHL	29	23	920.4	399	163	365	.447	0	0	.000	73	108	.676	77	177	254	37	17	45	68	78	
2009-10	PHL	76	57	2,297.1	996	412	858	.480	0	1	.000	172	233	.738	179	282	461	109	82	80	131	232	
2010-11	PHL	81	81	2,809.2	1,217	502	981	.512	0	1	.000	213	273	.780	237	439	676	120	92	106	101	244	
2011-12	PHL	60	60	1,732.2	659	287	581	.494	0	1	.000	85	116	.733	145	284	429	97	58	97	65	176	
2012-13	DAL	72	18	1,527	518	226	478	.473	0	1	.000	66	93	.710	130	300	430	70	50	90	57	192	
2013-14	ATL	73	15	1,413.6	419	179	332	.539	0	2	.000	61	94	.649	97	264	361	74	40	88	60	192	
2014-15	ATL	36	4	485.6	96	42	95	.442	0	1	.000	12	23	.522	28	72	100	22	17	25	18	54	
2015-16	PHL	17	1	224.7	70	31	72	.431	0	1	.000	8	9	.889	9	54	63	18	9	8	11	32	
CAREER	 	1058	868	34,910.8	16,827	6,599	13,185	.500	2	21	.095	3,627	4,929	.736	3,304	5,736	9,040	2,184	940	1,828	2,060	3,115	
