Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
1971-72	SEA	33	-	359	140	59	180	.328	-	-	-	22	29	.759	-	-	37	60	-	-	-	44	
1972-73	SEA	79	-	2,320	1,063	471	1,035	.455	-	-	-	121	148	.818	-	-	318	438	-	-	-	226	
1973-74	SEA	82	-	2,501	1,351	578	1,226	.471	-	-	-	195	226	.863	114	287	401	414	136	18	-	276	
1974-75	SEA	81	-	2,669	1,700	737	1,537	.480	-	-	-	226	272	.831	113	230	343	284	187	14	-	227	
1975-76
☆	SEA	76	-	2,516	1,757	742	1,522	.488	-	-	-	273	314	.869	111	206	317	207	143	18	-	186	
1976-77	SEA	72	-	2,098	1,236	534	1,114	.479	-	-	-	168	190	.884	68	164	232	176	124	19	-	140	
1977-78	SEA	72	-	1,965	1,192	508	1,042	.488	-	-	-	176	196	.898	61	127	188	240	110	25	164	145	
1978-79	SEA	77	-	1,961	1,075	446	951	.469	-	-	-	183	206	.888	38	134	172	260	119	23	164	142	
1979-80	SEA	80	-	1,701	960	404	843	.479	39	88	.443	113	135	.837	35	120	155	174	65	17	105	117	
1980-81	SEA	78	-	1,986	1,206	505	1,035	.488	23	64	.359	173	208	.832	53	122	175	233	88	13	131	141	
1981-82	SEA	82	2	1,785	922	393	863	.455	25	77	.325	111	129	.860	42	98	140	238	69	4	96	111	
1982-83	SEA	80	1	1,432	814	371	714	.520	14	32	.438	58	72	.806	32	65	97	242	59	13	110	98	
1983-84	SEA	71	1	1,129	602	258	506	.510	9	34	.265	77	86	.895	14	48	62	194	49	2	70	84	
CAREER	 	963	4	24,422	14,018	6,006	12,568	.478	110	295	.373	1,896	2,211	.858	681	1,601	2,637	3,160	1,149	166	840	1,937	
