Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
1988-89	PHL	79	79	2,572	1,196	442	971	.455	71	166	.428	241	290	.831	51	174	225	239	120	37	158	184	
1989-90	PHL	82	82	2,853	1,515	522	1,136	.460	84	200	.420	387	436	.888	85	219	304	261	130	28	185	217	
1990-91
☆	PHL	80	80	3,110	1,767	590	1,251	.472	108	270	.400	479	550	.871	48	262	310	299	178	39	213	182	
1991-92	PHL	81	81	3,013	1,536	521	1,127	.462	91	229	.397	403	461	.874	53	218	271	248	157	43	189	174	
1992-93	PHL	81	81	2,977	1,643	551	1,172	.470	122	307	.397	419	487	.860	91	255	346	317	137	30	180	189	
1993-94	CHA	82	82	2,648	1,180	395	859	.460	78	235	.332	312	362	.862	89	288	377	216	135	22	158	167	
1994-95	CHA	82	82	2,731	1,172	390	809	.482	131	298	.440	261	301	.867	60	254	314	262	122	18	150	178	
1995-96	SEA	82	82	2,823	1,281	443	936	.473	146	380	.384	249	285	.874	86	211	297	218	149	14	164	172	
1996-97	SEA	82	82	2,755	1,139	369	795	.464	143	355	.403	258	295	.875	92	228	320	250	159	12	130	146	
1997-98	SEA	82	82	2,597	862	280	636	.440	125	301	.415	177	204	.868	71	263	334	221	148	17	102	153	
1998-99	SEA	50	34	1,644	516	171	408	.419	55	180	.306	119	132	.902	51	150	201	123	80	18	80	90	
1999-00	CHI	61	49	1,622	480	159	375	.424	55	141	.390	107	119	.899	31	144	175	134	74	15	100	146	
2000-01	CHA	59	0	681	183	56	137	.409	17	46	.370	54	63	.857	17	63	80	72	33	9	19	45	
CAREER	 	983	896	32,026	14,470	4,889	10,612	.461	1,226	3,108	.394	3,466	3,985	.870	825	2,729	3,554	2,860	1,622	302	1,828	2,043	
