Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
2000-01	CHI	61	8	1,050	282	107	304	.352	41	117	.350	27	34	.794	9	80	89	141	43	14	85	68	
2001-02	CHI	23	6	481	214	89	187	.476	26	58	.448	10	13	.769	5	29	34	55	18	5	32	18	
2002-03	CHI	80	31	1,992	858	334	808	.413	86	242	.355	104	129	.806	21	164	185	334	77	25	134	126	
2003-04	CHI	80	73	2,812	1,383	509	1,318	.386	165	521	.317	200	240	.833	46	237	283	405	111	29	193	161	
2004-05	NYK	70	67	2,688	1,241	437	1,097	.398	185	512	.361	182	216	.843	33	170	203	302	92	19	148	135	
2005-06	NYK	79	27	2,555	1,128	366	879	.416	101	293	.345	295	357	.826	36	212	248	301	87	15	175	150	
2006-07	NYK	59	36	2,197.9	1,039	354	886	.400	103	322	.320	228	272	.838	44	145	189	259	57	8	162	114	
2007-08	NYK	80	80	3,189.7	1,645	570	1,391	.410	176	494	.356	329	381	.864	37	170	207	398	81	17	192	144	
2008-09 *	All Teams	65	65	2,478.3	1,280	419	1,022	.410	142	394	.360	300	344	.872	23	170	193	288	57	13	148	92	
2008-09 *	GOS	54	54	2,086.6	1,064	346	853	.406	107	317	.338	265	298	.889	21	155	176	240	48	13	122	79	
2008-09 *	NYK	11	11	391.7	216	73	169	.432	35	77	.455	35	46	.761	2	15	17	48	9	0	26	13	
2009-10	ATL	79	0	2,460	1,425	496	1,105	.449	163	427	.382	270	315	.857	34	167	201	238	61	12	137	132	
2010-11	ATL	76	0	2,297	1,077	368	874	.421	119	349	.341	222	260	.854	22	108	130	241	57	14	145	97	
2011-12	POR	60	6	1,612.7	837	283	737	.384	80	260	.308	191	206	.927	16	102	118	191	55	14	111	74	
2012-13	LAC	76	0	2,230.4	1,255	445	1,016	.438	149	396	.376	216	248	.871	22	106	128	193	79	13	146	71	
2013-14	LAC	69	24	2,094.3	1,282	421	1,011	.416	161	446	.361	279	322	.866	34	124	158	223	59	12	135	120	
2014-15	LAC	64	4	1,703.1	1,010	332	839	.396	119	364	.327	227	252	.901	18	106	124	158	59	14	92	108	
2015-16	LAC	79	5	2,126.2	1,120	379	939	.404	117	344	.340	245	271	.904	20	125	145	183	52	12	113	122	
2016-17	LAC	82	1	2,157	1,008	359	870	.413	116	322	.360	174	203	.857	17	112	129	214	61	14	134	115	
2017-18	MIN	80	0	1,653.2	822	308	742	.415	104	314	.331	102	113	.903	21	78	99	185	40	9	95	85	
2018-19	PHX	64	0	1,211	508	174	438	.397	67	202	.332	93	110	.845	8	77	85	229	33	12	99	75	
2019-20	BRK	1	0	6	5	2	4	.500	1	2	.500	0	0	.000	0	0	0	3	0	0	0	1	
CAREER	 	1327	433	38,994.6	19,419	6,752	16,467	.410	2,221	6,379	.348	3,694	4,286	.862	466	2,482	2,948	4,541	1,179	271	2,476	2,008	
