Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
1977-78 *	All Teams	83	-	2,405	1,262	495	1,093	.453	-	-	-	272	421	.646	197	418	615	85	53	78	169	322	
1977-78 *	IND	58	-	1,682	892	350	777	.450	-	-	-	192	296	.649	153	282	435	56	37	50	112	233	
1977-78 *	LAL	25	-	723	370	145	316	.459	-	-	-	80	125	.640	44	136	180	29	16	28	57	89	
1978-79	IND	82	-	2,546	1,366	534	1,065	.501	-	-	-	298	441	.676	179	514	693	92	60	109	162	363	
1979-80	IND	82	-	2,314	1,287	528	1,032	.512	0	1	.000	231	339	.681	179	399	578	127	55	104	131	324	
1980-81	IND	81	-	2,375	1,266	511	1,004	.509	0	3	.000	244	347	.703	191	380	571	212	32	128	164	304	
1981-82	CLE	77	75	2,539	1,288	528	1,033	.511	0	4	.000	232	339	.684	189	392	581	123	24	117	162	347	
1982-83 *	All Teams	31	9	667	325	128	263	.487	0	0	.000	69	108	.639	56	99	155	40	12	19	49	110	
1982-83 *	PHX	16	1	285	141	55	113	.487	0	0	.000	31	47	.660	19	40	59	27	5	5	19	49	
1982-83 *	CLE	15	8	382	184	73	150	.487	0	0	.000	38	61	.623	37	59	96	13	7	14	30	61	
1983-84	PHX	72	67	1,897	1,059	438	817	.536	0	1	.000	183	254	.720	108	240	348	184	23	30	140	254	
1984-85	PHX	70	58	1,787	1,044	384	766	.501	0	3	.000	276	370	.746	95	292	387	153	26	52	162	237	
1985-86	PHX	52	51	1,334	848	318	587	.542	0	0	.000	212	302	.702	79	222	301	74	23	29	129	201	
1986-87	PHX	14	9	304	168	57	110	.518	0	0	.000	54	70	.771	20	40	60	19	6	7	15	42	
1987-88 *	All Teams	69	44	1,705	814	302	643	.470	0	1	.000	210	321	.654	119	293	412	78	16	37	130	216	
1987-88 *	PHX	43	42	1,377	673	254	542	.469	0	1	.000	165	260	.635	97	238	335	73	14	32	108	159	
1987-88 *	DET	26	2	328	141	48	101	.475	0	0	.000	45	61	.738	22	55	77	5	2	5	22	57	
1988-89	DET	76	1	1,254	555	211	422	.500	0	2	.000	133	194	.686	68	163	231	49	11	31	72	226	
1989-90	DET	82	71	2,283	1,189	462	928	.498	0	3	.000	265	354	.749	112	233	345	63	23	37	133	295	
1990-91	DET	72	70	1,903	982	383	792	.484	1	2	.500	215	295	.729	91	186	277	65	12	30	126	249	
1991-92	LAC	72	11	1,437	698	250	538	.465	0	1	.000	198	271	.731	55	147	202	53	24	33	72	236	
1992-93	LAL	52	0	617	328	122	270	.452	0	0	.000	84	118	.712	30	70	100	41	10	7	51	122	
1993-94	LAL	45	2	469	210	78	168	.464	0	0	.000	54	79	.684	11	54	65	22	4	3	30	90	
1994-95	POR	28	0	266	75	32	83	.386	0	0	.000	11	17	.647	10	33	43	8	5	8	14	44	
1995-96	CHI	28	0	274	98	41	110	.373	0	0	.000	16	26	.615	15	25	40	11	1	8	21	61	
CAREER	 	1168	468	28,376	14,862	5,802	11,724	.495	1	21	.048	3,257	4,666	.698	1,804	4,200	6,004	1,499	420	867	1,932	4,043	
