Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
2001-02	GOS	80	74	2,629	1,151	464	1,090	.426	82	246	.333	141	210	.671	124	216	340	236	106	31	160	195	
2002-03	GOS	82	82	2,696	1,282	476	1,161	.410	123	334	.368	207	271	.764	111	267	378	247	90	23	179	201	
2003-04	GOS	78	78	2,936	1,461	563	1,284	.438	77	273	.282	258	377	.684	124	400	524	226	86	41	196	182	
2004-05	GOS	72	72	2,723	1,559	610	1,368	.446	125	370	.338	214	309	.693	125	299	424	281	105	32	169	156	
2005-06	GOS	75	75	2,877.3	1,741	641	1,438	.446	183	477	.384	276	410	.673	105	333	438	232	97	37	167	206	
2006-07	GOS	51	49	1,675	814	306	734	.417	110	301	.365	92	140	.657	71	188	259	172	54	32	82	129	
2007-08	CHA	82	82	3,149.3	1,788	648	1,468	.441	243	599	.406	249	331	.752	80	361	441	258	116	57	166	241	
2008-09 *	All Teams	72	71	2,410.5	1,212	465	974	.477	129	325	.397	153	199	.769	77	242	319	146	76	28	95	146	
2008-09 *	PHX	58	57	1,919.1	950	368	754	.488	102	266	.383	112	144	.778	64	197	261	110	62	25	71	103	
2008-09 *	CHA	14	14	491.4	262	97	220	.441	27	59	.458	41	55	.745	13	45	58	36	14	3	24	43	
2009-10	PHX	79	76	2,485.1	1,239	473	998	.474	157	400	.393	136	184	.739	81	323	404	143	66	33	92	169	
2010-11 *	All Teams	80	80	2,715.1	1,249	472	1,056	.447	189	479	.395	116	159	.730	67	264	331	147	93	13	95	162	
2010-11 *	ORL	55	55	1,919	766	289	667	.433	127	331	.384	61	87	.701	34	186	220	111	66	10	65	116	
2010-11 *	PHX	25	25	796.1	483	183	389	.470	62	148	.419	55	72	.764	33	78	111	36	27	3	30	46	
2011-12	ORL	54	54	1,591	629	243	596	.408	102	277	.368	41	69	.594	36	158	194	107	53	22	60	91	
2012-13	PHL	33	33	936.5	347	135	336	.402	57	167	.341	20	33	.606	19	108	127	51	40	15	26	57	
2014-15	PHL	19	15	416.5	172	62	178	.348	31	96	.323	17	22	.773	13	53	66	38	13	3	16	28	
CAREER	 	857	841	29,240.1	14,644	5,558	12,681	.438	1,608	4,344	.370	1,920	2,714	.707	1,033	3,212	4,245	2,284	995	367	1,503	1,963	
