Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
1999-00	ATL	81	27	1,888	657	249	600	.415	46	157	.293	113	140	.807	24	142	166	346	90	10	156	133	
2000-01	ATL	82	77	3,089	1,619	596	1,367	.436	124	314	.395	303	358	.846	42	227	269	403	104	12	239	204	
2001-02	ATL	78	78	2,967	1,504	524	1,219	.430	172	444	.387	284	340	.835	40	230	270	444	144	13	181	156	
2002-03	ATL	81	81	3,081	1,395	488	1,141	.428	160	431	.371	259	292	.887	37	242	279	600	126	14	249	175	
2003-04	ATL	81	78	3,018	1,359	499	1,196	.417	146	421	.347	215	260	.827	49	287	336	437	124	16	229	192	
2004-05	DAL	80	57	2,401	993	372	743	.501	103	245	.420	146	173	.844	38	150	188	429	109	15	147	177	
2005-06	DAL	80	80	2,798.4	1,371	516	1,099	.470	171	416	.411	168	210	.800	31	127	158	306	100	27	135	196	
2006-07	DAL	81	80	2,846.2	1,350	514	1,063	.484	162	370	.438	160	199	.804	41	190	231	422	81	17	152	170	
2007-08	DAL	82	34	2,578.6	1,269	471	1,008	.467	136	363	.375	191	223	.857	30	178	208	264	88	18	92	170	
2008-09	DAL	74	11	2,490.9	1,447	541	1,168	.463	167	456	.366	198	225	.880	39	138	177	251	97	20	119	141	
2009-10	DAL	77	12	2,539.5	1,280	456	1,041	.438	136	373	.365	232	268	.866	19	121	140	292	94	17	109	142	
2010-11	DAL	82	10	2,564.4	1,293	492	1,091	.451	127	351	.362	182	214	.850	24	129	153	334	93	13	167	140	
2011-12	DAL	63	1	2,000	950	357	830	.430	138	365	.378	98	111	.883	16	133	149	226	73	11	127	69	
2012-13	BOS	79	24	2,123.6	799	281	648	.434	123	331	.372	114	131	.870	19	140	159	198	66	11	102	110	
2013-14	BRK	35	0	570.3	159	55	152	.362	39	103	.379	10	15	.667	4	33	37	56	13	0	27	48	
2014-15	HOU	77	18	1,641.3	541	188	446	.422	126	323	.390	39	48	.813	15	106	121	147	66	19	74	116	
2015-16	HOU	72	7	1,257.7	422	151	376	.402	93	261	.356	27	33	.818	14	65	79	103	47	9	49	91	
2016-17	MIL	74	0	1,365.1	307	105	243	.432	73	171	.427	24	29	.828	15	91	106	98	46	20	36	95	
2017-18	MIL	51	4	813.6	166	59	154	.383	40	115	.348	8	9	.889	5	43	48	59	42	13	25	52	
CAREER	 	1410	679	42,033.5	18,881	6,914	15,585	.444	2,282	6,010	.380	2,771	3,278	.845	502	2,772	3,274	5,415	1,603	275	2,415	2,577	
