Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
2007-08	SEA	80	52	28.2	10.47	4.00	9.36	.427	0.26	0.95	.276	2.21	2.98	.744	1.26	3.48	4.74	1.49	0.57	0.61	1.98	2.48	
2008-09	OKC	78	78	36.8	16.54	6.10	13.69	.446	1.23	3.17	.389	3.10	3.94	.788	1.54	5.12	6.65	1.99	1.04	0.42	2.22	2.59	
2009-10	OKC	82	82	37.1	15.11	5.91	13.05	.453	1.27	3.80	.333	2.01	2.72	.740	1.37	4.61	5.98	1.63	1.27	0.88	1.65	2.70	
2010-11 *	All Teams	75	51	32.4	13.31	4.91	10.93	.449	0.85	2.81	.303	2.64	3.25	.811	0.97	3.83	4.80	1.44	0.71	0.49	1.32	2.80	
2010-11 *	OKC	49	49	37.0	15.18	5.51	12.61	.437	1.14	3.76	.304	3.02	3.69	.818	1.16	4.43	5.59	1.82	0.82	0.43	1.55	2.90	
2010-11 *	BOS	26	2	23.5	9.77	3.77	7.77	.485	0.31	1.04	.296	1.92	2.42	.794	0.62	2.69	3.31	0.73	0.50	0.62	0.88	2.62	
2012-13	BOS	81	17	27.8	12.79	4.64	9.95	.467	0.86	2.25	.385	2.64	3.27	.808	0.68	3.25	3.93	1.58	0.69	0.84	1.63	2.16	
2013-14	BOS	82	82	34.2	16.85	5.88	14.28	.412	1.65	4.83	.341	3.45	4.34	.795	0.66	3.98	4.63	1.68	0.70	0.57	2.01	2.20	
2014-15 *	All Teams	78	70	31.5	14.97	5.33	12.40	.430	1.24	3.74	.332	3.06	3.68	.833	0.82	3.38	4.21	1.72	0.68	0.44	1.38	1.88	
2014-15 *	MEM	45	37	30.3	13.07	4.67	10.93	.427	1.11	3.07	.362	2.62	3.18	.825	0.96	3.20	4.16	1.80	0.58	0.47	1.16	1.80	
2014-15 *	BOS	33	33	33.1	17.58	6.24	14.39	.434	1.42	4.67	.305	3.67	4.36	.840	0.64	3.64	4.27	1.61	0.82	0.39	1.70	2.00	
2015-16 *	All Teams	80	41	28.2	11.74	4.42	10.30	.430	0.84	2.66	.315	2.05	2.75	.745	0.93	3.23	4.15	1.73	0.72	0.50	1.16	2.05	
2015-16 *	MEM	53	31	29.1	12.19	4.53	10.51	.431	0.79	2.57	.309	2.34	2.92	.800	1.04	3.51	4.55	1.85	0.75	0.36	1.30	1.92	
2015-16 *	LAC	27	10	26.3	10.85	4.22	9.89	.427	0.93	2.85	.325	1.48	2.41	.615	0.70	2.67	3.37	1.48	0.67	0.78	0.89	2.30	
2016-17	ORL	69	11	22.2	9.25	3.19	8.09	.394	0.77	2.80	.275	2.10	2.43	.863	0.57	2.54	3.10	1.17	0.54	0.20	1.09	1.49	
2017-18	CLE	78	14	23.4	10.85	3.78	7.92	.477	0.68	2.18	.312	2.60	3.00	.868	0.77	2.38	3.15	1.27	0.53	0.44	0.96	1.91	
2018-19	WAS	77	44	27.2	12.29	4.23	8.92	.475	1.44	4.16	.347	2.38	2.68	.888	0.74	3.27	4.01	1.78	0.56	0.51	1.31	2.08	
2019-20 *	All Teams	48	4	20.0	9.44	3.31	7.17	.462	1.29	3.81	.339	1.52	1.90	.802	0.50	2.27	2.77	1.04	0.54	0.40	0.88	1.85	
2019-20 *	UTH	30	2	18.4	7.77	2.50	6.50	.385	1.13	3.47	.327	1.63	2.10	.778	0.47	2.23	2.70	0.67	0.40	0.33	0.90	1.53	
2019-20 *	HOU	18	2	22.6	12.22	4.67	8.28	.564	1.56	4.39	.354	1.33	1.56	.857	0.56	2.33	2.89	1.67	0.78	0.50	0.83	2.39	
2020-21	BRK	68	38	27.0	11.03	3.84	7.79	.492	1.51	3.68	.412	1.84	2.37	.776	0.50	3.37	3.87	1.59	0.53	0.40	0.79	1.79	
2021-22	DEN	75	63	24.7	10.29	3.69	7.05	.524	0.71	2.24	.315	2.20	2.64	.833	0.55	2.53	3.08	1.28	0.37	0.36	0.95	2.01	
2022-23	DEN	56	4	19.5	7.80	2.86	5.86	.488	0.54	1.86	.288	1.55	2.09	.744	0.68	1.89	2.57	1.23	0.32	0.30	0.82	1.77	
CAREER	 	1107	651	28.5	12.40	4.49	10.00	.449	1.01	3.00	.337	2.41	2.99	.803	0.85	3.34	4.20	1.53	0.67	0.50	1.38	2.14	
