Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
1986-87	PHX	80	3	1,561	424	159	350	.454	12	43	.279	94	121	.777	41	143	184	361	70	5	153	132	
1987-88	PHX	82	49	2,243	781	306	605	.506	17	58	.293	152	185	.822	71	191	262	540	107	10	156	151	
1988-89	PHX	78	73	2,487	1,054	440	889	.495	27	81	.333	147	178	.826	75	191	266	465	129	8	111	188	
1989-90	PHX	67	60	2,278	1,179	483	901	.536	40	98	.408	173	202	.856	86	227	313	337	117	14	125	144	
1990-91	PHX	80	76	2,733	1,350	544	1,051	.518	61	146	.418	201	224	.897	74	247	321	409	111	16	130	185	
1991-92
☆	PHX	81	81	3,073	1,632	635	1,240	.512	83	189	.439	279	315	.886	106	301	407	411	158	31	170	218	
1992-93	PHL	79	78	2,860	1,511	582	1,239	.470	97	249	.390	250	289	.865	84	258	342	548	131	21	222	203	
1993-94 *	All Teams	80	62	2,820	1,274	472	1,004	.470	70	208	.337	260	296	.878	60	219	279	419	127	13	171	186	
1993-94 *	PHL	53	53	1,994	880	325	715	.455	52	166	.313	178	204	.873	41	171	212	315	95	10	138	115	
1993-94 *	UTH	27	9	826	394	147	289	.509	18	42	.429	82	92	.891	19	48	67	104	32	3	33	71	
1994-95	UTH	81	81	2,696	1,337	482	937	.514	89	219	.406	284	322	.882	53	157	210	347	129	17	145	181	
1995-96	UTH	82	59	2,588	1,247	442	880	.502	104	223	.466	259	290	.893	62	147	209	340	106	20	127	171	
1996-97	UTH	82	82	2,592	1,191	413	856	.482	72	195	.369	293	326	.899	60	181	241	361	124	25	134	188	
1997-98	UTH	80	80	2,460	1,139	399	828	.482	56	127	.441	285	322	.885	65	205	270	349	109	15	132	175	
1998-99	UTH	48	48	1,435	587	214	449	.477	34	81	.420	125	140	.893	33	127	160	192	52	14	82	95	
1999-00	UTH	77	77	2,133	953	358	728	.492	66	138	.478	171	180	.950	49	133	182	202	66	16	113	149	
CAREER	 	1077	909	33,959	15,659	5,929	11,957	.496	828	2,055	.403	2,973	3,390	.877	919	2,727	3,646	5,281	1,536	225	1,971	2,366	
