Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
1983-84	WAS	81	2	1,976	982	408	918	.444	24	74	.324	142	172	.826	57	98	155	151	23	13	110	162	
1984-85	WAS	76	61	2,613	1,436	605	1,213	.499	15	72	.208	211	250	.844	60	146	206	184	52	9	107	176	
1985-86
☆	WAS	80	80	2,994	1,795	735	1,522	.483	3	17	.176	322	371	.868	66	222	288	191	70	12	168	180	
1986-87
☆	WAS	80	79	2,763	1,760	689	1,509	.457	4	26	.154	378	427	.885	50	168	218	298	75	13	182	154	
1987-88	WAS	80	79	2,655	1,641	648	1,360	.476	10	24	.417	335	380	.882	44	162	206	237	51	13	172	198	
1988-89	WAS	76	76	2,418	1,651	677	1,410	.480	1	19	.053	296	340	.871	55	124	179	219	39	14	165	155	
1989-90	WAS	75	74	2,567	1,820	781	1,592	.491	1	6	.167	257	293	.877	54	152	206	243	48	6	125	116	
1990-91	UTH	69	69	2,466	1,282	525	1,034	.508	1	6	.167	231	252	.917	36	170	206	143	50	6	108	128	
1991-92	UTH	81	81	2,922	1,639	691	1,353	.511	1	12	.083	256	285	.898	49	184	233	180	56	5	140	126	
1992-93	UTH	79	60	2,558	1,429	595	1,205	.494	3	9	.333	236	277	.852	31	142	173	128	42	4	125	117	
1993-94 *	All Teams	77	71	2,560	1,262	525	1,081	.486	7	12	.583	205	247	.830	51	148	199	125	40	5	85	123	
1993-94 *	UTH	50	50	1,657	808	338	692	.488	3	6	.500	129	153	.843	28	87	115	66	26	5	57	77	
1993-94 *	PHL	27	21	903	454	187	389	.481	4	6	.667	76	94	.809	23	61	84	59	14	0	28	46	
1994-95	PHL	19	19	660	350	144	284	.507	11	28	.393	51	59	.864	11	44	55	29	15	0	29	35	
1995-96 *	All Teams	32	3	510	186	76	193	.394	5	16	.313	29	32	.906	8	32	40	26	16	0	22	25	
1995-96 *	PHL	25	3	407	155	63	160	.394	5	16	.313	24	26	.923	8	24	32	19	13	0	19	19	
1995-96 *	MIA	7	0	103	31	13	33	.394	0	0	.000	5	6	.833	0	8	8	7	3	0	3	6	
CAREER	 	905	754	29,662	17,233	7,099	14,674	.484	86	321	.268	2,949	3,385	.871	572	1,792	2,364	2,154	577	100	1,538	1,695	
