Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
1995-96	PHL	72	71	2,701	1,384	452	1,091	.414	93	292	.318	387	518	.747	90	175	265	278	76	79	252	179	
1996-97	PHL	81	81	3,166	1,679	533	1,308	.407	102	342	.298	511	667	.766	156	182	338	253	93	63	316	219	
1997-98 *	All Teams	79	37	2,545	1,249	424	975	.435	47	195	.241	354	450	.787	105	161	266	241	89	59	224	175	
1997-98 *	DET	57	15	1,797	896	296	692	.428	31	149	.208	273	349	.782	77	113	190	174	58	38	150	119	
1997-98 *	PHL	22	22	748	353	128	283	.452	16	46	.348	81	101	.802	28	48	76	67	31	21	74	56	
1998-99	DET	42	9	1,188	607	181	488	.371	35	126	.278	210	247	.850	26	81	107	118	34	19	121	79	
1999-00
☆	DET	82	82	3,148	1,939	619	1,447	.428	83	288	.288	618	758	.815	118	197	315	365	103	36	311	188	
2000-01
☆	DET	80	80	3,215	2,380	774	1,927	.402	166	473	.351	666	810	.822	99	216	315	410	97	54	326	160	
2001-02	DET	76	76	2,685	1,629	524	1,319	.397	86	300	.287	495	577	.858	77	238	315	403	79	37	266	163	
2002-03	WAS	70	70	2,748	1,508	491	1,201	.409	71	245	.290	455	518	.878	61	197	258	316	65	28	193	130	
2003-04	WAS	26	17	774	362	128	321	.399	23	65	.354	83	103	.806	16	78	94	103	24	3	88	49	
2004-05	DAL	56	7	1,617	833	274	662	.414	32	120	.267	253	298	.849	38	145	183	127	53	10	106	104	
2005-06	DAL	55	11	1,525.8	715	242	603	.401	36	130	.277	195	221	.882	32	121	153	160	37	10	121	96	
2006-07	DAL	67	8	1,614.5	804	280	654	.428	62	162	.383	182	215	.847	39	106	145	187	51	10	117	78	
2007-08	DAL	58	13	1,412.4	618	213	526	.405	60	184	.326	132	148	.892	33	100	133	145	28	10	86	82	
2008-09	DAL	10	1	162.3	42	16	60	.267	3	19	.158	7	7	1.000	5	12	17	12	4	1	9	6	
2009-10	MIL	42	0	854.8	358	129	316	.408	45	130	.346	55	69	.797	19	81	100	70	21	9	66	56	
2010-11	MIA	7	1	49.8	12	3	12	.250	1	4	.250	5	7	.714	1	6	7	3	0	2	2	3	
2011-12	ATL	30	0	272.6	108	37	100	.370	13	38	.342	21	23	.913	6	17	23	14	10	3	13	12	
2012-13	BRK	37	0	543.7	182	66	172	.384	30	89	.337	20	23	.870	5	28	33	35	7	4	24	31	
CAREER	 	970	564	30,222.7	16,409	5,386	13,182	.409	988	3,202	.309	4,649	5,659	.822	926	2,141	3,067	3,240	871	437	2,641	1,810	
