Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
1994-95	WAS	65	52	2,348	1,104	455	931	.489	0	7	.000	194	292	.664	184	361	545	165	52	15	166	236	
1995-96
☆	WAS	81	81	3,294	1,789	733	1,500	.489	4	13	.308	319	426	.749	188	472	660	360	67	39	303	269	
1996-97	WAS	82	82	3,326	1,570	638	1,313	.486	0	2	.000	294	389	.756	202	450	652	311	93	23	246	259	
1997-98	WAS	64	64	2,559	1,184	463	991	.467	0	2	.000	258	358	.721	161	288	449	208	82	23	185	225	
1998-99	WAS	36	36	1,430	682	286	604	.474	0	3	.000	110	146	.753	90	203	293	107	42	14	95	130	
1999-00	WAS	82	82	2,909	1,220	509	1,108	.459	0	7	.000	202	275	.735	132	338	470	247	67	21	225	299	
2000-01 *	All Teams	81	81	2,974	1,462	583	1,218	.479	0	3	.000	296	383	.773	171	401	572	224	75	37	242	292	
2000-01 *	WAS	54	54	1,981	981	392	827	.474	0	0	.000	197	256	.770	121	258	379	154	46	21	169	186	
2000-01 *	DAL	27	27	993	481	191	391	.488	0	3	.000	99	127	.780	50	143	193	70	29	16	73	106	
2001-02 *	All Teams	81	72	2,635	1,185	462	1,005	.460	0	2	.000	261	343	.761	223	389	612	169	46	47	152	264	
2001-02 *	DAL	53	44	1,659	684	270	585	.462	0	1	.000	144	191	.754	138	252	390	93	28	30	78	169	
2001-02 *	DEN	28	28	976	501	192	420	.457	0	1	.000	117	152	.770	85	137	222	76	18	17	74	95	
2002-03	DEN	77	77	2,729	1,418	567	1,261	.450	2	4	.500	282	351	.803	181	404	585	234	77	27	189	239	
2003-04	ORL	81	77	2,877	1,376	529	1,169	.453	0	1	.000	318	393	.809	171	399	570	158	54	22	178	284	
2004-05	HOU	61	47	1,624	585	244	541	.451	0	1	.000	97	115	.843	126	220	346	94	32	5	79	143	
2005-06	HOU	80	80	2,538.1	942	394	859	.459	0	4	.000	154	191	.806	168	367	535	112	49	8	133	235	
2006-07	HOU	80	38	2,122.6	773	309	665	.465	0	0	.000	155	188	.824	138	332	470	131	29	8	112	205	
2007-08	DAL	50	0	352.4	57	23	64	.359	0	0	.000	11	14	.786	21	60	81	17	5	2	17	62	
2008-09 *	All Teams	42	2	472	173	75	147	.510	0	0	.000	23	34	.676	30	46	76	26	7	6	26	71	
2008-09 *	CHA	39	2	449.7	171	74	145	.510	0	0	.000	23	34	.676	29	43	72	24	6	5	26	67	
2008-09 *	DEN	3	0	22.3	2	1	2	.500	0	0	.000	0	0	.000	1	3	4	2	1	1	0	4	
2009-10	POR	73	27	1,631.5	437	191	375	.509	0	1	.000	55	70	.786	108	227	335	61	27	10	72	191	
2010-11	MIA	57	0	591.5	139	55	125	.440	0	0	.000	29	35	.829	36	86	122	23	10	4	25	61	
2011-12	MIA	28	0	190.2	42	17	55	.309	0	0	.000	8	10	.800	18	29	47	10	4	1	20	18	
2012-13	MIA	7	2	50.7	21	10	19	.526	0	0	.000	1	1	1.000	0	8	8	6	0	0	4	9	
CAREER	 	1208	900	36,654	16,159	6,543	13,950	.469	6	50	.120	3,067	4,014	.764	2,348	5,080	7,428	2,663	818	312	2,469	3,492	
