Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
1985-86	UTH	81	76	2477	1203	504	1016	.496	0	2	.000	195	405	.481	174	544	718	236	105	44	279	294	
1986-87	UTH	82	82	2857	1779	728	1422	.512	0	7	.000	323	540	.598	278	577	855	158	104	60	237	323	
1987-88	UTH	82	82	3198	2268	858	1650	.520	0	5	.000	552	789	.700	277	709	986	199	117	50	325	296	
1988-89	UTH	80	80	3126	2326	809	1559	.519	5	16	.313	703	918	.766	259	594	853	219	144	70	285	286	
1989-90	UTH	82	82	3122	2540	914	1627	.562	16	43	.372	696	913	.762	232	679	911	226	121	50	304	259	
1990-91	UTH	82	81	3302	2382	847	1608	.527	4	14	.286	684	888	.770	236	731	967	270	89	79	244	268	
1991-92	UTH	81	81	3054	2272	798	1516	.526	3	17	.176	673	865	.778	225	684	909	241	108	51	248	226	
1992-93	UTH	82	82	3099	2217	797	1443	.552	4	20	.200	619	836	.740	227	692	919	308	124	83	240	261	
1993-94	UTH	82	81	3329	2063	772	1552	.497	8	32	.250	511	736	.694	235	705	940	328	125	126	234	268	
1994-95	UTH	82	82	3126	2187	830	1548	.536	11	41	.268	516	695	.742	156	715	871	285	129	85	236	269	
1995-96	UTH	82	82	3113	2106	789	1520	.519	16	40	.400	512	708	.723	175	629	804	345	138	56	199	245	
1996-97	UTH	82	82	2998	2249	864	1571	.550	0	13	.000	521	690	.755	193	616	809	368	113	48	233	217	
1997-98	UTH	81	81	3030	2190	780	1472	.530	2	6	.333	628	825	.761	189	645	834	316	96	70	247	237	
1998-99	UTH	49	49	1832	1164	393	797	.493	0	1	.000	378	480	.788	107	356	463	201	62	28	162	134	
1999-00	UTH	82	82	2947	2095	752	1476	.509	2	8	.250	589	739	.797	169	610	779	304	79	71	231	229	
2000-01	UTH	81	81	2895	1878	670	1345	.498	2	5	.400	536	676	.793	114	555	669	361	93	62	244	216	
2001-02	UTH	80	80	3040	1788	635	1399	.454	9	25	.360	509	639	.797	142	544	686	341	152	59	263	229	
2002-03	UTH	81	81	2935	1667	595	1289	.462	3	14	.214	474	621	.763	113	515	628	379	136	31	210	204	
2003-04	LAL	42	42	1373	554	193	400	.483	0	1	.000	168	225	.747	61	306	367	163	50	20	103	116	
