Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
1984-85	ATL	82	19	1,785	765	322	690	.467	2	9	.222	119	181	.657	177	345	522	36	31	49	104	226	
1985-86	ATL	82	59	2,300	1,010	419	811	.517	0	6	.000	172	263	.654	243	461	704	45	65	44	177	294	
1986-87	ATL	81	81	2,626	1,304	538	1,003	.536	1	4	.250	227	320	.709	320	528	848	62	65	59	171	313	
1987-88	ATL	75	55	2,091	871	356	687	.518	0	2	.000	159	245	.649	235	312	547	28	68	41	138	240	
1989-90	ATL	81	51	2,273	1,006	418	805	.519	2	7	.286	168	246	.683	253	392	645	57	63	47	144	259	
1990-91	ATL	80	80	2,373	1,051	444	881	.504	4	10	.400	159	238	.668	259	445	704	99	60	40	153	235	
1991-92
☆	ATL	81	80	2,962	1,480	591	1,224	.483	6	37	.162	292	363	.804	418	840	1,258	173	72	54	197	223	
1992-93	ATL	80	80	2,878	1,435	616	1,218	.506	7	29	.241	196	300	.653	335	693	1,028	165	68	41	213	264	
1993-94	ATL	80	80	2,867	1,531	627	1,257	.499	9	24	.375	268	376	.713	335	628	963	150	79	38	188	250	
1994-95 *	All Teams	67	63	2,390	1,154	473	1,015	.466	3	15	.200	205	297	.690	227	505	732	86	60	36	162	215	
1994-95 *	MIA	65	61	2,301	1,112	457	974	.469	3	14	.214	195	282	.691	217	479	696	83	59	33	155	208	
1994-95 *	ATL	2	2	89	42	16	41	.390	0	1	.000	10	15	.667	10	26	36	3	1	3	7	7	
1995-96 *	All Teams	75	60	2,135	794	325	712	.456	1	9	.111	143	202	.708	208	430	638	53	32	41	161	253	
1995-96 *	MIA	47	42	1,357	479	195	412	.473	0	5	.000	89	125	.712	134	286	420	34	19	25	99	158	
1995-96 *	GOS	28	18	778	315	130	300	.433	1	4	.250	54	77	.701	74	144	218	19	13	16	62	95	
1996-97	HOU	75	32	1,964	842	350	728	.481	2	14	.143	140	202	.693	146	415	561	71	42	30	119	216	
1997-98	HOU	81	74	2,528	1,305	531	1,041	.510	1	7	.143	242	305	.793	232	447	679	78	55	38	170	235	
1998-99	TOR	42	38	1,216	504	187	447	.418	0	2	.000	130	155	.839	109	241	350	67	28	28	86	134	
1999-00	TOR	79	1	1,679	604	236	569	.415	1	3	.333	131	164	.799	201	281	482	49	36	48	98	256	
2000-01 *	All Teams	78	22	1,830	722	304	690	.441	1	6	.167	113	147	.769	177	355	532	50	57	52	87	216	
2000-01 *	DEN	43	13	1,059	413	180	421	.428	1	4	.250	52	66	.788	109	200	309	29	38	31	47	138	
2000-01 *	TOR	35	9	771	309	124	269	.461	0	2	.000	61	81	.753	68	155	223	21	19	21	40	78	
2001-02	HOU	52	6	866	315	125	284	.440	0	1	.000	65	87	.747	105	194	299	14	25	23	41	98	
2002-03	SAN	71	6	841	297	123	257	.479	0	2	.000	51	83	.614	83	143	226	24	20	20	60	120	
2003-04	SAN	48	0	373	164	70	150	.467	0	1	.000	24	39	.615	37	61	98	11	21	9	32	61	
2004-05	ATL	29	5	344	87	35	90	.389	0	2	.000	17	23	.739	29	47	76	9	8	7	15	53	
2006-07	DAL	5	0	42.6	12	5	13	.385	0	0	.000	2	2	1.000	2	6	8	1	2	1	2	11	
CAREER	 	1424	892	38,363.6	17,253	7,095	14,572	.487	40	190	.211	3,023	4,238	.713	4,131	7,769	11,900	1,328	957	746	2,518	4,172	
