Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
2003-04	CLE	79	79	3123	1654	622	1492	.417	63	217	.290	347	460	.754	99	333	432	465	130	58	273	149	
2004-05	CLE	80	80	3388	2175	795	1684	.472	108	308	.351	477	636	.750	111	477	588	577	177	52	262	146	
2005-06	CLE	79	79	3361.3	2478	875	1823	.480	127	379	.335	601	814	.738	75	481	556	521	123	66	260	181	
2006-07	CLE	78	78	3190.3	2132	772	1621	.476	99	310	.319	489	701	.698	83	443	526	470	125	55	250	171	
2007-08	CLE	75	74	3026.8	2250	794	1642	.484	113	359	.315	549	771	.712	133	459	592	539	138	81	255	165	
2008-09	CLE	81	81	3054	2304	789	1613	.489	132	384	.344	594	762	.780	106	507	613	587	137	93	241	139	
2009-10	CLE	76	76	2965.6	2258	768	1528	.503	129	387	.333	593	773	.767	71	483	554	651	125	77	261	119	
2010-11	MIA	79	79	3063	2111	758	1484	.511	92	279	.330	503	663	.759	80	510	590	554	124	50	284	163	
2011-12	MIA	62	62	2326.2	1683	621	1169	.531	54	149	.362	387	502	.771	94	398	492	387	115	50	213	96	
2012-13	MIA	76	76	2877.1	2036	765	1354	.565	103	254	.406	403	535	.753	97	513	610	551	129	67	226	110	
2013-14	MIA	77	77	2901.9	2089	767	1353	.567	116	306	.379	439	585	.750	81	452	533	488	121	26	270	126	
2014-15	CLE	69	69	2493.4	1743	624	1279	.488	120	339	.354	375	528	.710	51	365	416	511	109	49	272	135	
2015-16	CLE	76	76	2708.6	1920	737	1416	.520	87	282	.309	359	491	.731	111	454	565	514	104	49	249	143	
2016-17	CLE	74	74	2794.6	1954	736	1344	.548	124	342	.363	358	531	.674	97	542	639	646	92	44	303	134	
2017-18	CLE	82	82	3025.9	2251	857	1580	.542	149	406	.367	388	531	.731	97	612	709	747	116	71	347	136	
2018-19	LAL	55	55	1937.4	1505	558	1095	.510	111	327	.339	278	418	.665	57	408	465	454	72	33	197	94	
2019-20	LAL	67	67	2316.3	1698	643	1303	.493	148	425	.348	264	381	.693	66	459	525	684	78	36	261	118	
2020-21	LAL	45	45	1503.7	1126	422	823	.513	104	285	.365	178	255	.698	29	317	346	350	48	25	168	70	
2021-22	LAL	56	56	2084.3	1695	640	1221	.524	161	448	.359	254	336	.756	63	396	459	349	73	59	196	121	
2022-23	LAL	55	54	1954.2	1590	609	1219	.500	121	377	.321	251	327	.768	65	392	457	375	50	32	178	88	
