Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
2005-06	PHL	30	0	144.3	56	23	52	.442	2	9	.222	8	13	.615	3	16	19	10	5	0	13	13	
2006-07	PHL	61	0	688.5	262	93	211	.441	12	37	.324	64	92	.696	17	53	70	110	22	1	46	42	
2007-08	PHL	80	0	1,862	920	319	752	.424	55	153	.359	227	290	.783	41	126	167	253	81	13	125	130	
2008-09	PHL	81	0	1,919.4	1,039	336	844	.398	63	220	.286	304	385	.790	36	129	165	242	85	14	151	128	
2009-10	PHL	64	38	1,912	898	318	677	.470	70	206	.340	192	233	.824	25	162	187	268	80	15	106	110	
2010-11	PHL	75	0	1,747.3	1,027	323	795	.406	88	253	.348	293	356	.823	32	117	149	252	47	17	102	128	
2011-12	PHL	64	0	1,681.7	956	318	782	.407	83	229	.362	237	292	.812	30	125	155	221	53	18	71	90	
2012-13	ATL	39	9	1,119	551	187	443	.422	72	196	.367	105	121	.868	8	72	80	139	44	10	74	55	
2013-14	ATL	60	7	1,444.6	625	197	493	.400	79	231	.342	152	179	.849	10	114	124	210	45	4	92	65	
2014-15	TOR	80	0	2,015.5	1,242	375	928	.404	152	447	.340	340	395	.861	24	127	151	164	88	10	101	103	
2015-16	LAL	67	35	1,906.7	1,028	283	693	.408	110	320	.344	352	424	.830	31	138	169	167	62	19	107	107	
2016-17 *	All Teams	81	1	1,993.4	1,421	428	998	.429	163	446	.365	402	457	.880	26	176	202	239	80	20	160	92	
2016-17 *	LAL	58	1	1,402.8	1,078	326	734	.444	122	317	.385	304	344	.884	14	118	132	183	65	11	120	67	
2016-17 *	HOU	23	0	590.6	343	102	264	.386	41	129	.318	98	113	.867	12	58	70	56	15	9	40	25	
2017-18	LAC	79	19	2,589.3	1,782	582	1,337	.435	186	518	.359	432	491	.880	40	158	198	417	85	19	234	106	
2018-19	LAC	75	1	1,992.8	1,498	484	1,138	.425	105	291	.361	425	485	.876	40	182	222	402	57	11	181	80	
2019-20	LAC	65	8	1,863.9	1,185	391	936	.418	111	315	.352	292	339	.861	31	170	201	365	43	12	182	80	
2020-21 *	All Teams	66	4	1,423	749	265	646	.410	69	173	.399	150	173	.867	21	117	138	225	47	6	108	62	
2020-21 *	LAC	42	3	917.9	510	181	430	.421	45	119	.378	103	119	.866	15	73	88	144	39	4	66	42	
2020-21 *	ATL	24	1	505.1	239	84	216	.389	24	54	.444	47	54	.870	6	44	50	81	8	2	42	20	
2021-22	ATL	56	0	798.9	354	125	320	.391	37	102	.363	67	78	.859	16	71	87	105	28	3	43	48	
CAREER	 	1123	122	27,102.3	15,593	5,047	12,045	.419	1,457	4,146	.351	4,042	4,803	.842	431	2,053	2,484	3,789	952	192	1,896	1,439	
