Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
2002-03	SAN	69	5	1,432	525	174	397	.438	51	148	.345	126	171	.737	47	114	161	138	96	17	100	170	
2003-04	SAN	77	38	2,262	987	330	789	.418	88	245	.359	239	298	.802	86	258	344	291	136	16	161	181	
2004-05
☆	SAN	74	74	2,193	1,186	367	780	.471	97	258	.376	355	442	.803	75	254	329	288	119	27	172	190	
2005-06	SAN	65	56	1,812.1	981	309	669	.462	83	217	.382	280	360	.778	42	188	230	235	101	26	121	156	
2006-07	SAN	75	36	2,060.5	1,240	396	854	.464	128	323	.396	320	372	.860	59	268	327	263	109	27	157	155	
2007-08	SAN	74	23	2,299.1	1,442	453	984	.460	156	389	.401	380	442	.860	63	291	354	332	109	33	200	173	
2008-09	SAN	44	7	1,180.7	683	223	491	.454	69	209	.330	168	190	.884	24	174	198	157	64	16	88	90	
2009-10	SAN	75	21	2,149.9	1,237	398	903	.441	132	350	.377	309	355	.870	68	216	284	370	103	24	154	154	
2010-11
☆	SAN	80	79	2,425.5	1,393	441	1,018	.433	154	441	.349	357	410	.871	42	253	295	393	123	28	174	163	
2011-12	SAN	34	7	792.3	440	150	285	.526	52	126	.413	88	101	.871	18	98	116	151	24	12	64	56	
2012-13	SAN	60	0	1,393.2	705	229	539	.425	83	235	.353	164	206	.796	30	171	201	274	80	13	132	114	
2013-14	SAN	68	3	1,550.4	838	294	627	.469	90	258	.349	160	188	.851	30	172	202	293	70	17	139	128	
2014-15	SAN	70	0	1,586.9	738	251	589	.426	89	258	.345	147	204	.721	28	183	211	293	67	20	154	138	
2015-16	SAN	58	0	1,134.1	555	197	435	.453	70	179	.391	91	112	.813	26	120	146	177	66	11	99	99	
2016-17	SAN	69	0	1,291.5	517	171	439	.390	89	227	.392	86	107	.804	28	129	157	183	82	16	96	119	
2017-18	SAN	65	0	1,298.7	576	201	463	.434	64	192	.333	110	131	.840	19	123	142	163	43	16	105	126	
CAREER	 	1057	349	26,861.7	14,043	4,584	10,262	.447	1,495	4,055	.369	3,380	4,089	.827	685	3,012	3,697	4,001	1,392	319	2,116	2,212	
