Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
1995-96	PHX	82	72	3,212	1,233	465	976	.476	61	186	.328	242	323	.749	139	235	374	289	85	31	133	199	
1996-97 *	All Teams	83	54	2,790	1,249	475	1,071	.444	101	280	.361	198	245	.808	88	284	372	224	68	24	164	138	
1996-97 *	DAL	56	36	1,994	897	334	774	.432	87	225	.387	142	176	.807	54	198	252	156	50	20	120	96	
1996-97 *	PHX	27	18	796	352	141	297	.475	14	55	.255	56	69	.812	34	86	120	68	18	4	44	42	
1997-98	DAL	82	82	3,395	1,763	675	1,505	.449	87	244	.357	326	416	.784	150	288	438	405	132	30	219	163	
1998-99	DAL	50	50	2,051	1,009	389	876	.444	45	136	.331	186	226	.823	69	194	263	218	66	15	107	96	
1999-00
☆	DAL	82	82	3,464	1,855	748	1,636	.457	99	247	.401	260	317	.820	122	396	518	438	109	32	196	171	
2000-01
☆	DAL	82	82	3,443	1,765	711	1,552	.458	91	263	.346	252	325	.775	109	316	425	360	118	32	190	174	
2001-02	DAL	69	69	2,755	1,424	569	1,228	.463	76	224	.339	210	251	.837	90	270	360	230	65	25	117	144	
2002-03	DAL	69	69	2,642	1,331	507	1,193	.425	119	322	.370	198	230	.861	107	295	402	205	76	21	114	105	
2003-04	DAL	72	72	2,778	1,342	514	1,159	.443	150	370	.405	164	193	.850	78	247	325	212	84	39	83	118	
2004-05	DAL	64	64	2,358	1,003	387	907	.427	116	285	.407	113	136	.831	45	217	262	169	48	18	60	123	
2005-06	SAN	77	18	2,037.2	780	286	695	.412	110	279	.394	98	115	.852	31	216	247	116	37	7	62	97	
2006-07	SAN	82	16	1,823.4	740	273	663	.412	104	286	.364	90	98	.918	34	189	223	108	32	16	46	76	
2007-08	SAN	82	61	2,203.9	826	315	761	.414	132	357	.370	64	80	.800	27	227	254	114	29	10	56	93	
2008-09	SAN	81	77	2,335.9	784	301	689	.437	131	319	.411	51	62	.823	26	244	270	114	37	17	61	82	
2009-10 *	All Teams	46	7	709	202	81	184	.440	32	82	.390	8	15	.533	6	65	71	43	10	6	21	33	
2009-10 *	SAN	25	6	394.6	93	37	97	.381	13	41	.317	6	9	.667	5	33	38	19	6	4	13	12	
2009-10 *	BOS	21	1	314.4	109	44	87	.506	19	41	.463	2	6	.333	1	32	33	24	4	2	8	21	
CAREER	 	1103	875	37,997.4	17,306	6,696	15,095	.444	1,454	3,880	.375	2,460	3,032	.811	1,121	3,683	4,804	3,245	996	323	1,629	1,812	
