Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
1984-85	CHI	82	82	3144	2313	837	1625	.515	9	52	.173	630	746	.845	167	367	534	481	196	69	291	285	
1985-86	CHI	18	7	451	408	150	328	.457	3	18	.167	105	125	.840	23	41	64	53	37	21	45	46	
1986-87	CHI	82	82	3281	3041	1098	2279	.482	12	66	.182	833	972	.857	166	264	430	377	236	125	272	237	
1987-88	CHI	82	82	3311	2868	1069	1998	.535	7	53	.132	723	860	.841	139	310	449	485	259	131	252	270	
1988-89	CHI	81	81	3255	2633	966	1795	.538	27	98	.276	674	793	.850	149	503	652	650	234	65	290	247	
1989-90	CHI	82	82	3197	2753	1034	1964	.526	92	245	.376	593	699	.848	143	422	565	519	227	54	247	241	
1990-91	CHI	82	82	3034	2580	990	1837	.539	29	93	.312	571	671	.851	118	374	492	453	223	83	202	229	
1991-92	CHI	80	80	3102	2404	943	1818	.519	27	100	.270	491	590	.832	91	420	511	489	182	75	200	201	
1992-93	CHI	78	78	3067	2541	992	2003	.495	81	230	.352	476	569	.837	135	387	522	428	221	61	207	188	
1994-95 CHI	17	17	668	457	166	404	.411	16	32	.500	109	136	.801	25	92	117	90	30	13	35	47	
1995-96	CHI	82	82	3090	2491	916	1850	.495	111	260	.427	548	657	.834	148	395	543	352	180	42	197	195	
1996-97	CHI	82	82	3106	2431	920	1892	.486	111	297	.374	480	576	.833	113	369	482	352	140	44	166	156	
1997-98	CHI	82	82	3181	2357	881	1893	.465	30	126	.238	565	721	.784	130	345	475	283	141	45	185	151	
2001-02	WAS	60	53	2092	1375	551	1324	.416	10	53	.189	263	333	.790	50	289	339	310	85	26	162	119	
2002-03	WAS	82	67	3034	1640	679	1527	.445	16	55	.291	266	324	.821	71	426	497	311	123	39	173	171	
