Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
1998-99	VAN	50	50	1,758	662	260	605	.430	15	74	.203	127	169	.751	30	106	136	325	78	5	146	122	
1999-00	VAN	82	82	3,155	1,190	459	1,031	.445	77	212	.363	195	250	.780	73	233	306	665	132	15	247	171	
2000-01	VAN	82	82	3,190	1,301	525	1,157	.454	108	285	.379	143	188	.761	47	257	304	685	107	12	248	148	
2001-02	SAC	80	80	2,659	1,098	446	985	.453	51	138	.370	155	193	.803	37	185	222	403	87	15	134	132	
2002-03	SAC	55	55	1,835	875	329	700	.470	56	137	.409	161	187	.861	34	113	147	285	72	8	127	93	
2003-04	SAC	82	82	2,979	1,506	527	1,170	.450	148	378	.392	304	373	.815	67	210	277	444	112	18	175	146	
2004-05	SAC	80	80	3,086	1,571	560	1,264	.443	131	364	.360	320	413	.775	77	255	332	541	124	30	203	191	
2005-06	SAC	82	82	3,166.8	1,728	597	1,382	.432	192	497	.386	342	403	.849	29	211	240	444	82	10	199	169	
2006-07	SAC	82	82	2,783.9	1,403	471	1,166	.404	173	481	.360	288	347	.830	39	224	263	388	88	6	197	139	
2007-08 *	All Teams	48	44	1,573.2	667	248	603	.411	93	248	.375	78	100	.780	16	144	160	290	54	4	119	97	
2007-08 *	ATL	33	32	1,100.3	464	170	411	.414	69	187	.369	55	69	.797	5	99	104	215	35	2	81	63	
2007-08 *	SAC	15	12	473	203	78	192	.406	24	61	.393	23	31	.742	11	45	56	75	19	2	38	34	
2008-09	ATL	79	79	2,739.8	1,176	437	1,005	.435	167	428	.390	135	171	.789	38	240	278	392	98	11	128	145	
2009-10	ATL	80	80	2,194.5	730	268	644	.416	126	324	.389	68	79	.861	20	164	184	310	67	3	90	157	
2010-11 *	All Teams	80	68	2,284.4	688	248	576	.431	153	348	.440	39	62	.629	17	178	195	265	50	9	101	175	
2010-11 *	ATL	56	56	1,673.5	526	192	441	.435	113	256	.441	29	46	.630	15	128	143	202	38	6	68	125	
2010-11 *	MIA	22	12	581.5	160	55	126	.437	40	88	.455	10	16	.625	2	47	49	55	11	3	32	47	
2010-11 *	WAS	2	0	29.4	2	1	9	.111	0	4	.000	0	0	.000	0	3	3	8	1	0	1	3	
2011-12	NYK	39	4	556.9	103	35	124	.282	27	85	.318	6	8	.750	5	54	59	80	21	3	20	45	
CAREER	 	1001	950	33,961.6	14,698	5,410	12,412	.436	1,517	3,999	.379	2,361	2,943	.802	529	2,574	3,103	5,517	1,172	149	2,134	1,930	
