Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
2007-08	MEM	53	46	26.1	9.40	3.57	8.34	.428	0.57	1.72	.330	1.70	2.32	.732	0.40	2.23	2.62	4.19	0.83	0.04	1.68	1.60	
2008-09	MEM	82	61	30.6	10.91	3.94	8.90	.442	1.07	2.65	.406	1.96	2.40	.817	0.30	3.06	3.37	4.32	1.10	0.10	1.74	1.78	
2009-10	MEM	80	80	32.1	11.99	4.61	10.38	.445	1.02	2.65	.387	1.74	2.34	.743	0.38	2.01	2.39	5.31	1.36	0.15	2.12	2.23	
2010-11	MEM	81	81	35.5	13.67	5.22	11.77	.444	0.99	2.68	.369	2.23	3.05	.733	0.40	2.65	3.05	6.52	1.78	0.22	2.17	2.25	
2011-12	MEM	62	61	35.1	12.71	4.77	11.03	.433	0.97	2.56	.377	2.19	2.55	.861	0.35	2.16	2.52	6.52	2.19	0.18	2.02	2.15	
2012-13	MEM	80	80	34.5	14.60	5.17	11.75	.440	1.32	3.66	.362	2.92	3.52	.830	0.54	2.27	2.81	6.09	2.17	0.30	2.36	2.14	
2013-14	MEM	73	73	33.5	17.21	6.34	14.11	.450	1.44	3.99	.361	3.08	3.78	.815	0.56	2.36	2.92	6.04	1.51	0.18	2.05	1.93	
2014-15	MEM	70	70	31.8	15.81	5.61	12.60	.446	1.53	3.96	.386	3.06	3.56	.859	0.41	2.57	2.99	5.36	1.27	0.20	2.23	1.99	
2015-16	MEM	56	56	31.4	15.30	5.25	12.43	.422	1.39	3.84	.363	3.41	4.09	.834	0.46	2.46	2.93	6.11	1.20	0.29	1.50	1.79	
2016-17	MEM	69	68	33.2	20.51	6.72	14.62	.460	2.48	6.07	.408	4.58	5.33	.859	0.45	3.04	3.49	6.28	1.33	0.28	2.26	1.83	
2017-18	MEM	12	12	31.1	17.08	5.33	14.00	.381	2.00	6.42	.312	4.42	5.50	.803	0.00	2.25	2.25	4.08	1.00	0.25	1.50	2.00	
2018-19	MEM	70	70	33.5	21.11	7.00	16.00	.438	2.21	6.09	.364	4.90	5.80	.845	0.57	2.84	3.41	6.41	1.34	0.31	1.86	1.76	
2019-20	UTH	47	41	29.0	14.36	4.94	12.06	.409	2.04	5.45	.375	2.45	2.96	.827	0.70	2.51	3.21	4.43	0.77	0.11	1.96	2.21	
2020-21
☆	UTH	51	51	29.4	16.22	5.57	12.55	.444	2.71	6.57	.412	2.37	2.78	.852	0.71	2.76	3.47	5.98	1.37	0.18	1.94	1.92	
2021-22	UTH	72	72	28.6	13.69	4.78	10.99	.435	2.35	5.75	.408	1.79	2.25	.796	0.65	2.36	3.01	5.35	1.33	0.29	1.71	1.97	
2022-23 *	All Teams	67	66	30.3	11.91	3.90	9.10	.428	2.01	5.24	.385	2.10	2.52	.834	0.49	2.22	2.72	6.72	1.09	0.21	1.54	2.07	
2022-23 *	UTH	43	42	29.7	10.72	3.56	8.72	.408	1.79	4.95	.362	1.81	2.23	.813	0.40	2.09	2.49	7.67	1.02	0.23	1.72	2.19	
2022-23 *	MIN	24	24	31.4	14.04	4.50	9.79	.460	2.42	5.75	.420	2.62	3.04	.863	0.67	2.46	3.12	5.00	1.21	0.17	1.21	1.88	
CAREER	 	1025	988	31.8	14.65	5.17	11.80	.439	1.58	4.15	.382	2.72	3.32	.820	0.48	2.50	2.98	5.71	1.40	0.21	1.95	1.98	
