Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
1978-79	CLE	80	-	1,576	855	362	706	.513	-	-	-	131	178	.736	127	202	329	60	51	29	102	215	
1979-80	CLE	82	-	2,802	1,820	775	1,482	.523	0	6	.000	270	343	.787	206	385	591	93	70	77	172	259	
1980-81
☆	CLE	82	-	3,194	2,012	853	1,791	.476	4	9	.444	302	385	.784	215	287	502	139	63	52	175	199	
1981-82 *	All Teams	84	83	3,063	1,726	753	1,477	.510	0	7	.000	220	302	.728	244	346	590	82	60	43	153	277	
1981-82 *	SAN	57	57	2,090	1,196	524	973	.539	0	1	.000	148	202	.733	173	276	449	43	33	28	98	200	
1981-82 *	CLE	27	26	973	530	229	504	.454	0	6	.000	72	100	.720	71	70	141	39	27	15	55	77	
1982-83	SAN	80	79	2,803	1,591	686	1,342	.511	0	3	.000	219	289	.758	188	349	537	98	57	52	126	248	
1983-84	SAN	79	79	2,853	1,839	779	1,597	.488	6	14	.429	275	353	.779	188	382	570	93	62	73	141	251	
1984-85	SAN	82	82	2,853	1,824	775	1,558	.497	5	23	.217	269	346	.777	145	272	417	151	61	27	144	219	
1985-86	SAN	82	82	2,970	1,923	803	1,699	.473	0	13	.000	317	392	.809	134	275	409	189	56	25	184	176	
1986-87	SAN	40	18	922	509	208	478	.435	1	2	.500	92	112	.821	38	65	103	38	19	9	51	68	
1987-88	SAN	68	20	1,501	919	378	784	.482	3	12	.250	160	194	.825	54	144	198	68	31	13	52	101	
CAREER	 	759	443	24,537	15,018	6,372	12,914	.493	19	89	.213	2,255	2,894	.779	1,539	2,707	4,246	1,011	530	400	1,300	2,013	
