Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
2005-06	GOS	49	3	885.6	334	132	318	.415	28	82	.341	42	59	.712	22	83	105	78	32	11	58	69	
2006-07	GOS	77	53	2,637.9	1,272	480	1,010	.475	39	143	.273	273	358	.763	62	181	243	319	132	21	221	210	
2007-08	GOS	81	72	3,070.9	1,636	652	1,227	.531	12	52	.231	320	417	.767	133	271	404	315	124	27	173	195	
2008-09	GOS	25	25	891.9	474	194	430	.451	8	26	.308	78	94	.830	14	94	108	93	39	8	67	67	
2009-10	GOS	64	64	2,646.6	1,631	631	1,406	.449	77	228	.338	292	388	.753	47	210	257	340	143	25	244	189	
2010-11	GOS	80	80	3,226.7	1,929	726	1,611	.451	137	379	.361	340	431	.789	44	237	281	450	168	23	252	203	
2011-12 *	All Teams	58	58	2,120.4	1,181	450	1,040	.433	62	201	.308	219	275	.796	20	180	200	346	85	18	177	136	
2011-12 *	GOS	37	37	1,365.4	811	305	704	.433	50	156	.321	151	186	.812	16	111	127	223	56	12	123	84	
2011-12 *	MIL	21	21	755	370	145	336	.432	12	45	.267	68	89	.764	4	69	73	123	29	6	54	52	
2012-13	MIL	82	82	3,076.4	1,577	597	1,436	.416	94	328	.287	289	374	.773	45	271	316	496	169	36	254	164	
2013-14	DAL	82	82	3,022.6	1,560	576	1,278	.451	69	209	.330	339	430	.788	38	257	295	471	141	23	264	197	
2014-15	DAL	80	80	2,699.2	1,513	602	1,354	.445	81	284	.285	228	303	.752	34	156	190	329	148	25	198	197	
2015-16	IND	81	81	2,734	1,121	436	1,021	.427	87	282	.309	162	206	.786	42	229	271	383	150	37	203	174	
2016-17	IND	74	33	1,997.7	630	247	557	.443	43	135	.319	93	128	.727	19	185	204	236	78	27	135	149	
CAREER	 	833	713	29,009.8	14,858	5,723	12,688	.451	737	2,349	.314	2,675	3,463	.772	520	2,354	2,874	3,856	1,409	281	2,246	1,950	
