Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
1976-77 All Teams	82	-	2506	1083	389	810	.480	-	-	-	305	440	.693	437	635	1072	89	67	181	-	275	
1977-78	HOU	59	-	2107	1144	413	828	.499	-	-	-	318	443	.718	380	506	886	31	48	76	220	179	
1978-79	HOU	82	-	3390	2031	716	1325	.540	-	-	-	599	811	.739	587	857	1444	147	79	119	326	223	
1979-80	HOU	82	-	3140	2119	778	1549	.502	0	6	.000	563	783	.719	573	617	1190	147	80	107	300	210	
1980-81	HOU	80	-	3245	2222	806	1545	.522	1	3	.333	609	804	.757	474	706	1180	141	83	150	308	223	
1981-82	HOU	81	81	3398	2520	945	1822	.519	0	6	.000	630	827	.762	558	630	1188	142	76	125	294	208	
1982-83	PHL	78	78	2922	1908	654	1305	.501	0	1	.000	600	788	.761	445	749	1194	101	89	157	264	206	
1983-84	PHL	71	71	2613	1609	532	1101	.483	0	4	.000	545	727	.750	352	598	950	96	71	110	250	188	
1984-85	PHL	79	79	2957	1941	602	1284	.469	0	2	.000	737	904	.815	385	646	1031	130	67	123	286	216	
1985-86	PHL	74	74	2706	1759	571	1246	.458	0	1	.000	617	784	.787	339	533	872	90	68	71	257	194	
1986-87	WAS	73	70	2476	1758	595	1311	.454	0	11	.000	568	690	.823	340	484	824	121	59	92	202	139	
1987-88	WAS	79	78	2692	1607	531	1090	.487	2	7	.286	543	689	.788	372	512	884	112	59	72	249	160	
1988-89	ATL	81	80	2878	1637	538	1096	.491	0	12	.000	561	711	.789	386	570	956	112	79	100	245	154	
1989-90	ATL	81	81	2735	1528	517	1077	.480	1	9	.111	493	631	.781	364	448	812	130	47	84	232	158	
1990-91	ATL	82	15	1912	869	280	598	.468	0	7	.000	309	372	.831	271	396	667	68	30	74	137	134	
1991-92	MIL	82	77	2511	1279	440	929	.474	3	8	.375	396	504	.786	320	424	744	93	74	64	150	136	
1992-93	MIL	11	0	104	50	13	42	.310	0	0	.000	24	31	.774	22	24	46	7	1	8	10	6	
1993-94	PHL	55	2	618	294	102	232	.440	0	1	.000	90	117	.769	106	120	226	34	11	17	59	52	
1994-95	SAN	17	0	149	49	13	35	.371	1	2	.500	22	32	.688	20	26	46	6	2	3	11	15	
