Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
1981-82	CHI	75	12	1,188	548	202	394	.513	0	3	.000	144	206	.699	82	145	227	81	23	24	107	152	
1982-83	CHI	57	38	1,627	939	361	622	.580	0	3	.000	217	340	.638	122	176	298	97	38	44	157	177	
1983-84	CHI	75	74	2,544	1,444	570	1,086	.525	1	2	.500	303	424	.715	130	239	369	136	71	60	188	253	
1984-85	CHI	77	76	2,816	1,767	679	1,225	.554	0	5	.000	409	521	.785	158	277	435	135	58	38	178	185	
1985-86	CHI	70	58	2,248	1,448	540	1,090	.495	4	23	.174	364	462	.788	150	200	350	213	49	47	171	186	
1986-87	NJN	75	53	2,638	1,551	556	1,067	.521	1	8	.125	438	564	.777	118	249	367	261	54	86	213	243	
1987-88	NJN	19	12	622	312	110	247	.445	0	2	.000	92	130	.708	31	60	91	71	13	20	48	73	
1988-89	LAL	74	0	1,491	715	231	494	.468	0	1	.000	253	343	.738	81	189	270	58	30	65	103	130	
1989-90	LAL	62	2	1,421	788	306	550	.556	0	5	.000	176	240	.733	49	136	185	96	39	46	73	160	
1990-91	DEN	53	50	1,823	1,330	490	983	.498	0	4	.000	350	439	.797	141	220	361	119	69	23	152	145	
1991-92	DET	82	61	2,113	1,146	452	907	.498	1	9	.111	241	353	.683	109	151	260	88	41	33	133	154	
1992-93 *	All Teams	58	47	1,555	698	289	599	.482	0	9	.000	120	177	.678	87	98	185	115	27	27	79	122	
1992-93 *	DET	50	47	1,477	655	271	566	.479	0	9	.000	113	168	.673	84	92	176	112	26	25	73	114	
1992-93 *	MIL	8	0	78	43	18	33	.545	0	0	.000	7	9	.778	3	6	9	3	1	2	6	8	
1993-94	PHL	74	1	1,955	937	364	773	.471	1	14	.071	208	302	.689	103	195	298	139	41	56	142	186	
CAREER	 	851	484	24,041	13,623	5,150	10,037	.513	8	88	.091	3,315	4,501	.737	1,361	2,335	3,696	1,609	553	569	1,744	2,166	
