Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
1984-85	KCK	82	23	1,918	1,052	411	685	.600	0	2	.000	230	371	.620	187	369	556	111	34	37	187	256	
1985-86	SAC	75	18	1,675	744	290	492	.589	0	0	.000	164	248	.661	138	282	420	84	36	34	121	233	
1986-87	SAC	82	82	2,956	1,547	567	1,050	.540	0	3	.000	413	543	.761	259	560	819	201	46	60	189	292	
1987-88	SAC	82	82	3,072	1,704	622	1,226	.507	0	6	.000	460	609	.755	279	558	837	266	62	56	228	264	
1988-89	HOU	82	82	3,135	1,370	521	961	.542	0	2	.000	328	450	.729	272	515	787	202	82	37	225	259	
1989-90	HOU	82	82	2,943	1,401	547	998	.548	0	10	.000	307	446	.688	258	476	734	261	66	24	229	270	
1990-91	HOU	82	82	3,039	1,435	549	988	.556	3	7	.429	334	480	.696	287	559	846	197	73	20	217	278	
1991-92
☆	HOU	82	82	3,056	1,420	558	943	.592	0	7	.000	304	463	.657	285	577	862	250	52	37	237	307	
1992-93	HOU	72	69	2,357	923	385	690	.558	0	2	.000	153	256	.598	219	370	589	181	43	19	151	234	
1993-94	HOU	82	82	2,909	1,149	449	801	.561	0	2	.000	251	382	.657	271	599	870	189	66	28	185	253	
1994-95 *	All Teams	70	35	2,096	937	385	681	.565	0	7	.000	167	281	.594	202	356	558	112	41	28	132	224	
1994-95 *	HOU	36	35	1,188	479	206	366	.563	0	3	.000	67	127	.528	113	209	322	58	22	13	76	102	
1994-95 *	POR	34	0	908	458	179	315	.568	0	4	.000	100	154	.649	89	147	236	54	19	15	56	122	
1995-96	DET	82	82	2,841	1,161	452	853	.530	0	4	.000	257	362	.710	211	477	688	158	53	39	195	300	
1996-97	DET	79	79	2,661	1,036	419	787	.532	0	2	.000	198	303	.653	226	396	622	133	59	17	145	298	
1997-98 *	All Teams	74	66	2,197	752	294	624	.471	0	5	.000	164	240	.683	151	386	537	222	48	30	152	238	
1997-98 *	VAN	47	46	1,574	528	205	430	.477	0	4	.000	118	170	.694	100	271	371	161	30	23	115	158	
1997-98 *	SAC	27	20	623	224	89	194	.459	0	1	.000	46	70	.657	51	115	166	61	18	7	37	80	
1998-99	WAS	49	38	1,539	554	240	440	.545	0	2	.000	74	106	.698	96	238	334	101	42	19	88	196	
1999-00	MIA	51	1	777	279	125	243	.514	0	3	.000	29	48	.604	56	110	166	33	26	9	59	136	
2000-01	CHA	49	4	647	138	59	131	.450	0	0	.000	20	24	.833	50	95	145	29	12	7	32	108	
CAREER	 	1257	989	39,818	17,602	6,873	12,593	.546	3	64	.047	3,853	5,612	.687	3,447	6,923	10,370	2,730	841	501	2,772	4,146	
