Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
1978-79	GOS	75	-	1,703	795	369	771	.479	-	-	-	57	85	.671	127	220	347	97	54	12	111	233	
1979-80	GOS	62	-	1,636	1,056	461	916	.503	0	6	.000	134	165	.812	119	197	316	123	63	9	122	186	
1980-81	GOS	79	-	2,309	1,269	549	1,157	.475	3	17	.176	168	205	.820	151	240	391	249	78	19	143	244	
1981-82	GOS	76	8	1,782	1,095	456	935	.488	6	28	.214	177	221	.801	123	143	266	209	65	10	122	220	
1982-83	GOS	67	57	2,397	1,437	589	1,209	.487	4	15	.267	255	308	.828	145	209	354	228	94	14	194	242	
1983-84	GOS	79	76	2,945	1,803	714	1,509	.473	22	72	.306	353	445	.793	184	254	438	246	103	11	228	252	
1984-85	GOS	78	77	3,081	2,186	819	1,780	.460	47	150	.313	501	613	.817	157	241	398	234	116	27	241	255	
1985-86	GOS	64	63	2,433	1,632	633	1,313	.482	15	49	.306	351	406	.865	126	202	328	237	92	22	184	229	
1986-87	GOS	34	15	950	621	240	501	.479	4	17	.235	137	160	.856	55	82	137	86	43	7	68	103	
1987-88	HOU	81	11	1,949	1,159	474	986	.481	5	21	.238	206	240	.858	71	151	222	162	58	14	118	197	
1988-89	HOU	65	16	1,157	482	198	480	.413	9	33	.273	77	89	.865	65	114	179	107	44	13	70	116	
1989-90	NJN	82	24	2,213	1,072	432	950	.455	10	35	.286	198	237	.835	101	147	248	145	66	20	119	202	
CAREER	 	842	347	24,555	14,607	5,934	12,507	.474	125	443	.282	2,614	3,174	.824	1,424	2,200	3,624	2,123	876	178	1,720	2,479	
