Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
1998-99	SEA	20	7	145	47	19	52	.365	1	6	.167	8	14	.571	13	12	25	4	8	1	20	19	
1999-00	SEA	82	8	1,575	674	275	566	.486	40	120	.333	84	123	.683	127	209	336	70	62	36	78	163	
2000-01	SEA	78	78	2,720	1,151	426	887	.480	123	285	.432	176	213	.826	143	398	541	125	91	45	129	191	
2001-02	SEA	71	70	2,584	1,195	455	972	.468	123	316	.389	162	200	.810	139	359	498	123	104	40	97	174	
2002-03	SEA	77	77	3,044	1,396	519	1,149	.452	75	217	.346	283	345	.820	152	351	503	133	99	35	143	205	
2003-04	SEA	80	80	2,931	1,421	535	1,229	.435	145	386	.376	206	270	.763	133	385	518	175	99	54	135	233	
2004-05
☆	SEA	71	71	2,696	1,457	532	1,151	.462	173	432	.400	220	283	.777	110	278	388	94	75	62	123	158	
2005-06	SEA	78	77	2,876.1	1,568	538	1,151	.467	142	370	.384	350	428	.818	111	279	390	182	102	50	141	191	
2006-07	SEA	60	60	2,347.9	1,342	463	1,005	.461	151	387	.390	265	315	.841	91	305	396	145	68	39	118	143	
2007-08	ORL	81	81	3,076.2	1,476	516	1,135	.455	226	553	.409	218	260	.838	97	340	437	196	99	38	140	214	
2008-09
☆	ORL	79	79	2,858.8	1,401	478	1,089	.439	220	554	.397	225	269	.836	92	361	453	205	81	51	158	194	
2009-10	ORL	72	72	2,368.6	1,013	350	805	.435	168	423	.397	145	180	.806	62	256	318	107	78	28	108	180	
2010-11 *	All Teams	57	52	1,824.5	668	252	582	.433	87	244	.357	77	96	.802	71	219	290	92	52	30	87	159	
2010-11 *	WAS	32	27	1,014.1	364	139	312	.446	43	124	.347	43	51	.843	48	136	184	63	30	20	52	96	
2010-11 *	ORL	25	25	810.4	304	113	270	.419	44	120	.367	34	45	.756	23	83	106	29	22	10	35	63	
2011-12	WAS	28	15	728.8	217	85	221	.385	16	67	.239	31	37	.838	34	75	109	27	23	10	32	49	
2012-13	MIA	55	9	792	285	103	249	.414	51	131	.389	28	45	.622	19	102	121	30	21	14	33	67	
2013-14	MIA	60	6	971	268	98	236	.415	46	134	.343	26	33	.788	24	86	110	57	53	8	35	90	
CAREER	 	1049	842	33,538.8	15,579	5,644	12,479	.452	1,787	4,625	.386	2,504	3,111	.805	1,418	4,015	5,433	1,765	1,115	541	1,577	2,430	
