Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
2001-02	NJN	79	9	1,917	742	270	591	.457	13	56	.232	189	265	.713	85	208	293	140	64	48	107	211	
2002-03	NJN	80	80	2,878	1,242	456	911	.501	6	24	.250	324	436	.743	150	364	514	201	80	44	156	216	
2003-04	NJN	82	82	3,135	1,515	555	1,115	.498	48	132	.364	357	468	.763	109	355	464	315	92	28	198	224	
2004-05	NJN	33	33	1,355	733	238	564	.422	30	89	.337	227	269	.844	49	191	240	133	33	17	132	109	
2005-06	NJN	78	78	3,058.4	1,521	495	1,005	.493	60	188	.319	471	580	.812	95	439	534	297	59	17	174	193	
2006-07	NJN	55	53	1,956	897	303	665	.456	52	145	.359	239	326	.733	48	192	240	148	34	8	120	123	
2007-08	NJN	82	82	3,200.3	1,857	619	1,328	.466	77	213	.362	542	679	.798	93	249	342	252	76	21	199	225	
2008-09	MIL	82	82	2,938.7	1,607	537	1,222	.439	116	292	.397	417	518	.805	57	317	374	199	66	14	165	252	
2009-10	SAN	81	70	2,520.3	994	362	775	.467	59	187	.316	211	287	.735	58	298	356	158	45	40	105	178	
2010-11	SAN	81	81	2,458.6	891	304	642	.474	135	307	.440	148	195	.759	54	256	310	107	38	34	93	164	
2011-12 *	All Teams	63	44	1,748.2	578	203	488	.416	113	269	.420	59	85	.694	26	193	219	88	37	19	50	121	
2011-12 *	SAN	41	41	1,168.3	379	132	319	.414	80	190	.421	35	50	.700	18	125	143	55	25	12	32	83	
2011-12 *	GOS	22	3	579.9	199	71	169	.420	33	79	.418	24	35	.686	8	68	76	33	12	7	18	38	
2012-13	GOS	56	1	568.4	176	62	136	.456	14	45	.311	38	53	.717	5	79	84	31	14	7	23	45	
2013-14	UTH	82	78	2,212.6	831	294	654	.450	123	301	.409	120	162	.741	18	201	219	130	56	14	94	168	
2014-15	DAL	74	18	1,244.2	432	144	324	.444	66	155	.426	78	114	.684	25	158	183	61	32	11	52	115	
2015-16	CLE	74	5	1,325.6	410	143	312	.458	66	173	.382	58	87	.667	15	113	128	59	33	14	43	129	
2016-17	CLE	79	13	1,613.7	448	153	343	.446	62	186	.333	80	108	.741	28	175	203	78	26	10	52	153	
2017-18	DEN	20	0	163.4	30	12	27	.444	2	7	.286	4	7	.571	2	15	17	15	2	1	5	11	
CAREER	 	1181	809	34,293.1	14,904	5,150	11,102	.464	1,042	2,769	.376	3,562	4,639	.768	917	3,803	4,720	2,412	787	347	1,768	2,637	
