Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
1988-89	NYK	81	10	1,358	721	265	567	.467	19	59	.322	172	231	.745	51	109	160	319	98	3	148	142	
1989-90 *	All Teams	82	24	2,143	868	343	756	.454	8	30	.267	174	278	.626	90	169	259	468	127	14	170	160	
1989-90 *	NYK	51	0	1,019	429	170	386	.440	6	21	.286	83	130	.638	43	83	126	219	70	8	85	71	
1989-90 *	SAN	31	24	1,124	439	173	370	.468	2	9	.222	91	148	.615	47	86	133	249	57	6	85	89	
1990-91	SAN	58	56	2,076	800	314	651	.482	11	33	.333	161	211	.763	57	162	219	463	117	11	156	125	
1991-92	SAN	57	54	2,053	787	300	659	.455	5	15	.333	182	265	.687	92	173	265	491	118	17	160	122	
1992-93	POR	78	35	2,474	1,069	396	816	.485	4	30	.133	273	381	.717	120	217	337	559	131	24	199	153	
1993-94	POR	82	58	2,889	1,411	528	1,093	.483	2	10	.200	353	471	.749	122	248	370	740	147	24	257	171	
1994-95	POR	64	61	2,267	1,211	441	946	.466	46	123	.374	283	380	.745	73	244	317	562	123	9	209	118	
1995-96	POR	67	63	2,526	1,256	471	1,023	.460	38	111	.342	276	423	.652	89	208	297	640	97	16	255	135	
1996-97	WAS	82	81	2,997	1,410	515	1,105	.466	13	77	.169	367	497	.738	95	240	335	727	143	14	270	166	
1997-98	WAS	76	76	3,020	1,349	490	1,130	.434	12	48	.250	357	492	.726	112	293	405	801	126	25	266	182	
1998-99	WAS	44	43	1,632	690	251	603	.416	12	42	.286	176	236	.746	56	156	212	434	76	5	142	91	
1999-00	WAS	69	67	2,188	869	327	762	.429	1	21	.048	214	305	.702	73	186	259	519	94	18	187	147	
2000-01 *	All Teams	54	28	1,371	498	182	429	.424	4	17	.235	130	173	.751	36	104	140	303	53	5	107	76	
2000-01 *	WAS	33	28	1,020	401	141	331	.426	4	16	.250	115	147	.782	25	80	105	231	43	4	83	55	
2000-01 *	POR	21	0	351	97	41	98	.418	0	1	.000	15	26	.577	11	24	35	72	10	1	24	21	
2001-02	MIA	76	64	2,294	794	316	714	.443	8	26	.308	154	201	.766	49	183	232	463	82	11	159	114	
2002-03	MIN	47	8	955	320	120	278	.432	1	11	.091	79	107	.738	20	75	95	215	46	6	76	55	
2003-04 *	All Teams	61	10	1,198	382	150	353	.425	10	36	.278	72	98	.735	34	121	155	244	35	11	85	76	
2003-04 *	ORL	46	9	916	311	122	269	.454	10	33	.303	57	76	.750	24	94	118	185	27	7	67	59	
2003-04 *	TOR	15	1	282	71	28	84	.333	0	3	.000	15	22	.682	10	27	37	59	8	4	18	17	
2004-05	HOU	16	2	196	28	9	43	.209	1	2	.500	9	10	.900	3	24	27	39	3	2	16	15	
CAREER	 	1094	740	33,637	14,463	5,418	11,928	.454	195	691	.282	3,432	4,759	.721	1,172	2,912	4,084	7,987	1,616	215	2,862	2,048	
