Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
1986-87	CLE	82	82	3,064	1,874	734	1,614	.455	20	94	.213	386	564	.684	169	223	392	394	209	84	345	247	
1987-88	CLE	57	52	1,830	879	340	732	.464	3	20	.150	196	278	.705	64	159	223	281	122	52	154	157	
1988-89	CLE	82	82	2,851	1,526	587	1,149	.511	29	116	.250	323	430	.751	122	287	409	434	185	74	230	224	
1989-90 *	All Teams	35	35	1,367	798	301	637	.473	14	51	.275	182	231	.788	74	132	206	182	81	41	100	105	
1989-90 *	LAC	28	28	1,105	644	240	499	.481	13	46	.283	151	190	.795	55	103	158	133	67	32	82	80	
1989-90 *	CLE	7	7	262	154	61	138	.442	1	5	.200	31	41	.756	19	29	48	49	14	9	18	25	
1990-91	LAC	39	34	1,383	763	285	729	.391	48	148	.324	145	217	.668	58	130	188	209	66	35	129	111	
1991-92	LAC	82	82	3,144	1,495	569	1,292	.440	64	211	.303	293	398	.736	120	327	447	417	152	72	252	199	
1992-93	LAC	80	77	2,970	1,443	542	1,203	.451	52	186	.280	307	399	.769	117	308	425	360	177	70	222	212	
1993-94	LAC	75	75	2,856	1,508	569	1,335	.426	71	236	.301	299	418	.715	129	331	460	344	144	54	242	167	
1994-95	CHI	77	53	1,536	530	209	491	.426	31	110	.282	81	131	.618	51	129	180	157	97	27	100	132	
1995-96	CHI	80	80	1,886	594	234	501	.467	28	104	.269	98	139	.705	74	139	213	208	105	32	73	137	
1996-97	CHI	76	74	1,740	480	177	406	.436	68	188	.362	58	82	.707	46	147	193	191	86	38	50	138	
1997-98	CHI	82	82	2,284	764	293	665	.441	16	84	.190	162	216	.750	107	183	290	241	108	48	91	181	
1998-99	CHI	35	35	1,107	392	147	390	.377	27	85	.318	71	101	.703	49	131	180	115	60	35	65	80	
1999-00	LAL	80	78	2,042	557	212	531	.399	33	106	.311	100	147	.680	96	241	337	270	85	39	132	164	
2000-01	LAL	47	46	1,139	307	127	271	.469	19	72	.264	34	48	.708	46	120	166	113	39	25	62	70	
CAREER	 	1009	967	31,199	13,910	5,326	11,946	.446	523	1,811	.289	2,735	3,799	.720	1,322	2,987	4,309	3,916	1,716	726	2,247	2,324	
