Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
2006-07	MEM	78	43	27.0	10.85	4.12	9.74	.422	0.67	1.83	.364	1.95	2.68	.727	1.19	3.27	4.46	1.28	0.91	0.95	1.79	2.46	
2007-08	MEM	81	81	37.0	20.15	7.72	16.73	.461	1.65	4.78	.346	3.06	3.90	.785	1.73	4.43	6.16	1.95	1.37	0.98	2.35	2.84	
2008-09	MEM	79	78	37.3	18.90	7.24	15.97	.453	1.08	3.06	.351	3.34	4.35	.767	1.38	4.15	5.53	1.71	1.24	0.75	2.57	2.80	
2009-10	MEM	80	80	39.7	19.59	7.50	16.10	.466	0.82	2.52	.327	3.76	5.00	.753	1.44	4.46	5.90	1.91	1.48	0.80	2.11	2.51	
2010-11	MEM	54	54	39.8	19.80	7.57	16.09	.471	1.06	2.67	.396	3.59	4.46	.805	1.52	4.70	6.22	2.83	1.69	1.07	2.50	2.43	
2011-12	MEM	65	65	37.3	18.95	7.46	16.42	.455	0.83	2.66	.312	3.20	4.05	.791	2.00	4.42	6.42	2.26	1.46	0.85	2.48	2.12	
2012-13 *	All Teams	75	74	35.8	18.21	6.95	16.71	.416	1.12	3.47	.323	3.20	3.93	.814	1.32	4.83	6.15	2.69	1.51	0.71	2.64	2.43	
2012-13 *	MEM	42	42	36.7	17.21	6.69	16.38	.408	0.95	3.07	.310	2.88	3.71	.776	1.33	4.60	5.93	2.57	1.33	0.74	2.48	2.07	
2012-13 *	TOR	33	32	34.7	19.48	7.27	17.12	.425	1.33	3.97	.336	3.61	4.21	.856	1.30	5.12	6.42	2.85	1.73	0.67	2.85	2.88	
2013-14 *	All Teams	73	73	34.7	19.96	7.36	16.15	.455	0.89	2.70	.330	4.36	5.30	.822	1.55	4.44	5.99	2.86	1.30	0.77	3.07	2.34	
2013-14 *	SAC	55	55	34.4	20.13	7.40	15.35	.482	0.78	2.51	.312	4.55	5.44	.836	1.53	4.00	5.53	3.07	1.22	0.60	3.00	2.25	
2013-14 *	TOR	18	18	35.5	19.44	7.22	18.61	.388	1.22	3.28	.373	3.78	4.89	.773	1.61	5.78	7.39	2.22	1.56	1.28	3.28	2.61	
2014-15	SAC	68	67	35.4	21.06	7.47	16.41	.455	1.16	3.24	.359	4.96	5.78	.858	1.44	4.43	5.87	3.68	1.04	0.60	2.69	2.31	
2015-16	SAC	70	70	34.0	17.20	6.66	14.39	.463	1.06	3.07	.344	2.83	3.63	.780	1.47	5.04	6.51	1.71	1.43	0.73	1.99	2.63	
2016-17	SAC	30	30	33.8	18.73	6.70	14.73	.455	1.40	3.77	.372	3.93	4.60	.855	1.17	5.17	6.33	2.77	1.47	0.87	2.47	2.63	
2017-18	SAN	57	6	21.6	11.49	4.44	9.42	.471	0.65	2.07	.314	1.96	2.54	.772	1.33	3.77	5.11	1.28	0.81	0.67	1.37	1.72	
2018-19	SAN	69	51	26.7	13.71	5.45	10.81	.504	1.07	2.67	.402	1.74	2.13	.816	0.91	5.90	6.81	2.64	0.78	0.49	1.65	2.30	
2019-20	SAN	67	5	21.8	10.84	3.97	8.90	.446	1.10	3.28	.336	1.79	2.03	.882	0.91	4.49	5.40	1.70	0.52	0.49	1.31	1.54	
2020-21	SAN	63	1	21.5	11.37	4.19	9.97	.420	1.68	4.41	.381	1.30	1.62	.804	0.67	4.14	4.81	1.40	0.71	0.63	1.03	1.83	
2021-22	UTH	55	1	18.9	8.11	2.85	6.89	.414	1.27	3.69	.345	1.13	1.44	.785	1.00	3.40	4.40	1.02	0.45	0.35	0.85	1.73	
2022-23	UTH	56	0	14.6	5.23	1.95	5.12	.380	0.59	2.32	.254	0.75	0.88	.857	0.59	2.32	2.91	1.02	0.34	0.32	0.66	1.21	
CAREER	 	1120	779	30.9	15.75	5.96	13.19	.452	1.06	3.06	.346	2.78	3.48	.799	1.29	4.32	5.61	2.04	1.10	0.71	2.00	2.25	
