Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
1993-94	HOU	66	6	1,122	440	162	388	.418	26	88	.295	90	107	.841	25	109	134	192	59	7	94	136	
1994-95	HOU	82	1	1,882	783	253	593	.427	63	191	.330	214	254	.843	38	173	211	405	94	14	167	209	
1995-96	HOU	61	0	1,682	886	289	658	.439	73	210	.348	235	285	.825	51	137	188	278	53	4	157	166	
1996-97 *	All Teams	61	44	1,714	967	337	783	.430	81	231	.351	212	251	.845	47	135	182	305	77	19	168	200	
1996-97 *	NJN	23	22	777	445	167	377	.443	47	120	.392	64	77	.831	21	61	82	149	37	7	67	86	
1996-97 *	PHX	22	9	539	325	100	241	.415	19	62	.306	106	124	.855	12	38	50	99	23	6	60	66	
1996-97 *	DAL	16	13	398	197	70	165	.424	15	49	.306	42	50	.840	14	36	50	57	17	6	41	48	
1997-98	NJN	75	72	2,606	1,471	510	1,156	.441	15	80	.188	436	507	.860	73	155	228	603	121	20	269	262	
1998-99 *	All Teams	8	3	199	127	39	93	.419	2	10	.200	47	50	.940	5	10	15	36	9	0	20	22	
1998-99 *	NJN	4	3	100	72	21	49	.429	1	7	.143	29	31	.935	1	5	6	19	3	0	12	13	
1998-99 *	MIL	4	0	99	55	18	44	.409	1	3	.333	18	19	.947	4	5	9	17	6	0	8	9	
1999-00	MIL	81	81	2,899	1,506	545	1,170	.466	26	90	.289	390	445	.876	69	232	301	729	102	8	267	255	
2000-01	MIL	76	75	2,709	1,381	537	1,132	.474	30	98	.306	277	323	.858	46	244	290	580	88	8	220	214	
2001-02	MIL	74	73	2,604	1,461	554	1,197	.463	71	204	.348	282	328	.860	54	258	312	493	90	12	177	208	
2002-03	MIL	78	77	2,699	1,536	546	1,162	.470	59	163	.362	385	447	.861	57	285	342	450	88	14	177	216	
2003-04
☆	MIN	81	81	2,838	1,603	620	1,270	.488	74	186	.398	289	331	.873	44	227	271	592	102	18	220	247	
2004-05	MIN	59	38	1,522	799	319	687	.464	27	103	.262	134	155	.865	25	132	157	301	36	14	109	160	
2005-06	LAC	78	75	2,653.6	1,345	493	1,112	.443	70	190	.368	289	335	.863	40	247	287	491	74	11	175	225	
2006-07	LAC	58	30	1,407.4	714	261	625	.418	32	109	.294	160	182	.879	27	140	167	270	28	8	101	126	
2007-08 *	All Teams	55	34	1,273.4	616	233	532	.438	23	76	.303	127	144	.882	17	119	136	214	37	6	97	98	
2007-08 *	LAC	38	33	974.5	486	183	402	.455	14	54	.259	106	119	.891	12	93	105	179	28	3	78	69	
2007-08 *	BOS	17	1	298.9	130	50	130	.385	9	22	.409	21	25	.840	5	26	31	35	9	3	19	29	
CAREER	 	993	690	29,810.3	15,635	5,698	12,558	.454	672	2,029	.331	3,567	4,144	.861	618	2,603	3,221	5,939	1,058	163	2,418	2,744	
