Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
1984-85	DAL	82	42	2,317	903	347	736	.471	9	36	.250	200	244	.820	189	416	605	135	63	63	102	236	
1985-86	DAL	80	79	2,626	1,234	458	909	.504	11	33	.333	307	377	.814	195	491	686	153	75	94	145	211	
1986-87	DAL	80	80	2,687	1,185	461	957	.482	19	54	.352	244	295	.827	196	416	612	144	108	77	130	255	
1987-88	DAL	75	75	2,499	1,066	394	876	.450	5	30	.167	273	332	.822	201	400	601	118	74	54	119	227	
1988-89	DAL	78	77	2,860	1,171	445	959	.464	7	38	.184	274	329	.833	235	453	688	127	76	92	141	224	
1989-90	DAL	76	70	2,668	1,206	435	883	.493	6	28	.214	330	424	.778	209	363	572	175	88	64	148	225	
1990-91	LAL	73	66	2,504	983	368	744	.495	18	64	.281	229	279	.821	167	371	538	108	64	78	103	247	
1991-92	LAL	63	63	2,332	1,041	361	803	.450	15	69	.217	304	372	.817	192	364	556	141	64	62	83	192	
1992-93 *	All Teams	79	62	2,351	1,036	381	799	.477	24	71	.338	250	305	.820	163	361	524	156	60	82	108	225	
1992-93 *	LAL	49	49	1,589	673	242	527	.459	5	29	.172	184	222	.829	111	268	379	128	40	51	76	139	
1992-93 *	SEA	30	13	762	363	139	272	.511	19	42	.452	66	83	.795	52	93	145	28	20	31	32	86	
1993-94	SEA	81	41	2,170	999	341	779	.438	99	270	.367	218	272	.801	120	246	366	111	67	31	103	197	
1994-95	SEA	82	37	2,356	1,043	346	742	.466	136	343	.397	215	269	.799	96	302	398	135	72	45	77	186	
1995-96	SEA	82	20	2,169	970	325	797	.408	129	363	.355	191	241	.793	101	266	367	120	83	48	82	174	
1996-97	SEA	81	4	1,976.1	889	290	661	.439	122	309	.395	187	229	.817	74	226	300	103	69	49	77	133	
1997-98	SEA	81	0	1,675	580	196	471	.416	87	222	.392	101	128	.789	53	202	255	113	62	29	62	158	
1998-99	IND	48	0	789	238	80	200	.400	35	90	.389	43	60	.717	36	102	138	25	15	14	22	74	
1999-00	IND	81	0	1,620	537	184	441	.417	89	218	.408	80	97	.825	64	225	289	68	31	33	63	136	
2000-01	IND	64	41	1,001	242	86	226	.381	38	110	.345	32	38	.842	32	136	168	41	33	18	19	61	
CAREER	 	1286	757	36,600.1	15,323	5,498	11,983	.459	849	2,348	.362	3,478	4,291	.811	2,323	5,340	7,663	1,973	1,104	933	1,584	3,161	
