Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
1992-93	ORL	81	81	3071	1893	733	1304	.562	0	2	.000	427	721	.592	342	780	1122	152	60	286	307	321	
1993-94	ORL	81	81	3224	2377	953	1591	.599	0	2	.000	471	850	.554	384	688	1072	195	76	231	222	281	
1994-95	ORL	79	79	2923	2315	930	1594	.583	0	5	.000	455	854	.533	328	573	901	214	73	192	204	258	
1995-96	ORL	54	52	1946	1434	592	1033	.573	1	2	.500	249	511	.487	182	414	596	155	34	115	155	193	
1996-97	LAL	51	51	1941	1336	552	991	.557	0	4	.000	232	479	.484	195	445	640	159	46	147	146	180	
1997-98	LAL	60	57	2175	1699	670	1147	.584	0	0	.000	359	681	.527	208	473	681	142	39	144	175	193	
1998-99	LAL	49	49	1705	1289	510	885	.576	0	1	.000	269	498	.540	187	338	525	114	36	82	122	155	
1999-00	LAL	79	79	3163	2344	956	1665	.574	0	1	.000	432	824	.524	336	742	1078	299	36	239	223	255	
2000-01	LAL	74	74	2924	2125	813	1422	.572	0	2	.000	499	972	.513	291	649	940	277	47	204	218	256	
2001-02	LAL	67	66	2422	1822	712	1229	.579	0	1	.000	398	717	.555	235	480	715	200	41	137	171	199	
2002-03	LAL	67	66	2535	1841	695	1211	.574	0	0	.000	451	725	.622	259	483	742	206	38	159	196	229	
2003-04	LAL	67	67	2464	1439	554	948	.584	0	0	.000	331	676	.490	246	523	769	196	34	166	195	225	
2004-05	MIA	73	73	2492	1669	658	1095	.601	0	0	.000	353	765	.461	253	507	760	200	36	171	203	262	
2005-06	MIA	59	58	1805.1	1181	480	800	.600	0	0	.000	221	471	.469	172	369	541	113	23	104	168	230	
2006-07	MIA	40	39	1134.6	690	283	479	.591	0	0	.000	124	294	.422	97	200	297	79	8	55	95	139	
2007-08 All Teams	61	61	1748.1	832	331	558	.593	0	0	.000	170	338	.503	166	388	554	93	32	88	181	228	
2008-09	PHX	75	75	2252.1	1333	512	841	.609	0	1	.000	309	519	.595	187	446	633	126	49	108	168	253	
2009-10	CLE	53	53	1240.4	636	262	463	.566	0	1	.000	112	226	.496	93	262	355	80	15	62	105	169	
2010-11	BOS	37	36	751.6	341	134	201	.667	0	0	.000	73	131	.557	48	130	178	26	16	42	56	120	
