Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
1996-97	VAN	80	71	2,802	1,494	550	1,214	.453	7	27	.259	387	519	.746	216	339	555	175	79	79	225	199	
1997-98	VAN	82	82	2,950	1,829	653	1,347	.485	21	51	.412	502	640	.784	227	354	581	213	89	76	257	201	
1998-99	VAN	50	50	2,021	1,152	386	893	.432	11	36	.306	369	439	.841	114	260	374	172	69	55	186	137	
1999-00	VAN	82	82	3,223	1,663	594	1,277	.465	29	96	.302	446	551	.809	218	607	825	271	89	87	249	244	
2000-01	VAN	81	81	3,241	1,663	604	1,280	.472	12	64	.188	443	531	.834	175	560	735	250	90	77	231	238	
2001-02
☆	ATL	77	77	2,980	1,636	598	1,297	.461	21	70	.300	419	523	.801	198	498	696	239	98	82	250	213	
2002-03	ATL	81	81	3,083	1,608	566	1,183	.478	21	60	.350	455	541	.841	175	502	677	242	87	38	212	240	
2003-04 *	All Teams	85	56	2,685	1,384	501	1,054	.475	9	34	.265	373	429	.869	189	450	639	174	68	37	184	222	
2003-04 *	ATL	53	53	1,956	1,065	383	790	.485	5	23	.217	294	334	.880	141	354	495	127	44	19	131	147	
2003-04 *	POR	32	3	729	319	118	264	.447	4	11	.364	79	95	.832	48	96	144	47	24	18	53	75	
2004-05	POR	54	49	1,867	909	337	670	.503	15	39	.385	220	254	.866	123	269	392	111	49	26	117	150	
2005-06	SAC	72	30	1,960.3	887	332	632	.525	5	22	.227	218	278	.784	106	251	357	149	48	42	108	227	
2006-07	SAC	80	45	2,014.7	793	310	654	.474	3	20	.150	170	234	.726	122	276	398	109	53	40	116	243	
2007-08	SAC	6	0	50.5	10	3	14	.214	0	0	.000	4	4	1.000	6	4	10	4	1	0	1	9	
CAREER	 	830	704	28,877.5	15,028	5,434	11,515	.472	154	519	.297	4,006	4,943	.810	1,869	4,370	6,239	2,109	820	639	2,136	2,323	
