Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
1996-97	MIN	67	64	2,324	1,057	355	871	.408	102	288	.354	245	337	.727	54	130	184	522	67	19	210	159	
1997-98	MIN	82	81	3,112	1,450	513	1,237	.415	95	304	.313	329	450	.731	58	172	230	704	104	7	256	222	
1998-99 *	All Teams	49	49	1,895	1,044	378	883	.428	66	197	.335	222	278	.799	37	105	142	437	59	8	164	125	
1998-99 *	NJN	31	31	1,234	725	254	579	.439	58	158	.367	159	191	.832	20	60	80	270	30	3	109	81	
1998-99 *	MIN	18	18	661	319	124	304	.408	8	39	.205	63	87	.724	17	45	62	167	29	5	55	44	
1999-00	NJN	74	74	2,881	1,640	569	1,317	.432	66	233	.283	436	536	.813	61	179	240	622	112	15	270	195	
2000-01
☆	NJN	67	67	2,557	1,598	563	1,277	.441	110	335	.328	362	458	.790	53	152	205	506	79	5	197	150	
2001-02	PHX	82	80	3,187	1,674	625	1,413	.442	71	248	.286	353	452	.781	75	191	266	666	77	13	284	186	
2002-03
☆	PHX	81	81	3,242	1,806	671	1,530	.439	89	296	.301	375	467	.803	53	210	263	654	108	20	263	200	
2003-04 *	All Teams	81	81	3,251	1,639	598	1,386	.431	87	274	.318	356	436	.817	58	205	263	719	129	9	249	172	
2003-04 *	NYK	47	47	1,839	931	336	780	.431	50	156	.321	209	251	.833	39	107	146	438	65	4	152	98	
2003-04 *	PHX	34	34	1,412	708	262	606	.432	37	118	.314	147	185	.795	19	98	117	281	64	5	97	74	
2004-05	NYK	82	82	3,281	1,781	604	1,308	.462	115	325	.354	458	549	.834	50	198	248	668	122	6	233	186	
2005-06	NYK	60	60	2,193.5	977	349	774	.451	33	104	.317	246	326	.755	25	150	175	382	63	4	157	143	
2006-07	NYK	74	74	2,748.1	1,210	395	952	.415	123	345	.357	297	386	.769	36	177	213	403	71	10	179	185	
2007-08	NYK	24	19	805	333	111	265	.419	28	74	.378	83	116	.716	17	42	59	113	21	2	48	57	
2008-09	BOS	23	4	414	88	38	111	.342	6	25	.240	6	13	.462	2	26	28	75	10	3	37	34	
CAREER	 	846	816	31,890.6	16,297	5,769	13,324	.433	991	3,048	.325	3,768	4,804	.784	579	1,937	2,516	6,471	1,022	121	2,547	2,014	
