Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
1982-83	SDC	70	69	2,531	1,660	684	1,309	.523	0	1	.000	292	412	.709	303	441	744	177	129	62	204	294	
1983-84	SDC	81	80	2,907	1,854	737	1,491	.494	0	3	.000	380	528	.720	323	454	777	139	92	57	218	298	
1984-85
☆	MIL	79	78	2,722	1,861	759	1,532	.495	0	1	.000	343	463	.741	244	472	716	228	117	67	190	264	
1985-86	MIL	82	82	2,669	1,627	681	1,438	.474	0	2	.000	265	404	.656	222	472	694	193	121	51	191	283	
1986-87	MIL	82	77	2,765	1,707	729	1,426	.511	0	3	.000	249	376	.662	214	486	700	229	129	81	172	295	
1987-88	MIL	76	76	2,629	1,621	675	1,392	.485	1	3	.333	270	406	.665	184	369	553	181	78	46	170	274	
1988-89
☆	MIL	80	78	2,824	1,829	730	1,563	.467	7	15	.467	362	460	.787	281	369	650	198	106	72	201	265	
1989-90	SAN	81	78	2,824	1,818	728	1,532	.475	19	59	.322	343	440	.780	226	451	677	219	110	52	202	286	
1990-91	SAN	67	62	2,196	1,177	503	1,039	.484	7	33	.212	164	240	.683	194	327	521	157	61	30	131	225	
1991-92	SAN	70	67	2,149	1,210	514	1,053	.488	5	13	.385	177	249	.711	247	384	631	102	58	34	115	210	
1992-93	SAN	8	0	76	27	11	29	.379	0	0	.000	5	10	.500	6	13	19	4	1	1	2	17	
1993-94	SAN	59	29	1,133	429	183	428	.428	0	2	.000	63	107	.589	132	165	297	50	31	13	59	137	
1994-95	SAN	76	20	1,273	520	224	464	.483	0	0	.000	72	123	.585	138	240	378	59	36	19	95	188	
1995-96	MIL	81	13	1,777	645	270	584	.462	1	7	.143	104	160	.650	162	283	445	89	56	30	69	263	
1996-97	SEA	45	3	828	370	155	319	.486	3	5	.600	57	82	.695	70	113	183	39	33	7	45	113	
1997-98 *	All Teams	74	3	1,185	467	200	428	.467	0	1	.000	67	98	.684	97	186	283	47	38	10	51	181	
1997-98 *	PHL	44	2	656	233	97	212	.458	0	1	.000	39	58	.672	55	93	148	21	22	5	17	102	
1997-98 *	NYK	30	1	529	234	103	216	.477	0	0	.000	28	40	.700	42	93	135	26	16	5	34	79	
1998-99	GOS	50	0	1,011	454	186	424	.439	1	1	1.000	81	114	.711	95	160	255	58	46	10	58	168	
1999-00	GOS	22	0	398	184	76	177	.429	0	0	.000	32	39	.821	45	62	107	21	13	8	27	74	
CAREER	 	1183	815	33,897	19,460	8,045	16,628	.484	44	149	.295	3,326	4,711	.706	3,183	5,447	8,630	2,190	1,255	650	2,200	3,835	
