Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
1985-86	POR	79	3	1,214	562	212	447	.474	13	42	.310	125	155	.806	35	82	117	198	86	1	106	136	
1986-87	POR	80	80	2,714	1,045	376	770	.488	13	60	.217	280	334	.838	70	267	337	715	159	9	255	192	
1987-88	POR	82	82	2,991	1,222	462	890	.519	24	69	.348	274	324	.846	65	313	378	831	150	16	244	204	
1988-89	POR	81	81	3,102	1,431	540	1,146	.471	79	219	.361	272	324	.840	85	282	367	770	146	8	248	187	
1989-90	POR	80	80	2,781	1,406	448	969	.462	89	238	.374	421	472	.892	59	213	272	726	151	4	245	150	
1990-91
☆	POR	81	81	2,665	1,381	486	944	.515	130	313	.415	279	339	.823	52	230	282	649	158	12	189	151	
1991-92	POR	82	82	2,784	1,485	521	1,129	.461	128	324	.395	315	368	.856	51	204	255	477	127	12	188	155	
1992-93
☆	POR	81	81	2,883	1,476	503	1,108	.454	143	345	.414	327	388	.843	58	258	316	419	101	10	199	122	
1993-94	POR	77	34	2,074	1,010	348	836	.416	110	282	.390	204	234	.872	45	170	215	401	79	18	166	132	
1994-95	POR	35	9	770	312	105	267	.393	44	114	.386	58	82	.707	18	63	81	133	30	2	58	60	
1995-96	MIN	82	40	2,072	773	269	608	.442	71	226	.314	164	209	.785	36	176	212	452	89	15	173	154	
1996-97	MIN	82	20	1,568	568	187	449	.416	67	200	.335	127	166	.765	31	145	176	295	54	11	128	104	
1997-98	MIN	82	8	1,786	777	259	577	.449	92	233	.395	167	195	.856	37	131	168	271	63	16	104	103	
1998-99	MIA	50	1	1,365	525	172	370	.465	58	141	.411	123	148	.831	13	127	140	146	48	11	74	97	
1999-00	SAN	68	8	1,613	641	207	463	.447	90	207	.435	137	170	.806	24	167	191	221	50	9	100	79	
2000-01	SAN	80	42	1,678	573	197	440	.448	87	205	.424	92	116	.793	24	177	201	251	52	11	104	88	
2001-02	SAN	72	0	1,294	399	136	321	.424	59	142	.415	68	83	.819	12	152	164	205	45	16	85	89	
CAREER	 	1274	732	35,354	15,586	5,428	11,734	.463	1,297	3,360	.386	3,433	4,107	.836	715	3,157	3,872	7,160	1,588	181	2,666	2,203	
