Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
2007-08	PHL	74	22	21.0	8.24	3.57	6.62	.539	0.08	0.26	.316	1.03	1.39	.738	1.62	2.59	4.22	0.78	0.99	0.11	0.86	1.70	
2008-09	PHL	75	71	34.4	15.27	6.33	12.80	.495	0.75	2.19	.341	1.85	2.52	.735	1.85	3.17	5.03	1.15	1.33	0.31	1.57	2.20	
2009-10	PHL	67	45	32.0	13.82	5.70	12.13	.470	0.72	2.06	.348	1.70	2.46	.691	1.94	3.28	5.22	1.45	1.21	0.22	1.88	1.99	
2010-11	PHL	82	1	26.0	12.74	5.59	10.33	.541	0.07	0.27	.273	1.50	2.12	.707	1.87	3.43	5.29	1.00	1.10	0.32	1.21	2.07	
2011-12	PHL	63	1	27.9	12.83	5.52	10.90	.507	0.02	0.06	.250	1.76	2.29	.771	2.17	2.98	5.16	1.17	1.02	0.65	0.87	2.02	
2012-13	PHL	76	76	34.6	14.83	6.70	12.61	.531	0.01	0.11	.125	1.42	2.47	.574	2.39	5.12	7.51	1.64	1.75	0.72	1.17	2.51	
2013-14	PHL	79	78	34.4	17.94	7.37	16.24	.454	1.14	3.70	.308	2.06	2.90	.712	2.10	3.92	6.03	2.30	2.11	0.46	2.09	2.70	
2014-15 *	All Teams	76	68	32.0	14.09	5.93	12.74	.466	0.50	1.51	.330	1.72	2.63	.655	1.67	3.74	5.41	2.28	1.63	0.33	1.54	2.25	
2014-15 *	MIN	48	48	33.4	14.27	6.02	13.35	.451	0.40	1.35	.292	1.83	2.69	.682	1.56	3.54	5.10	2.81	1.79	0.35	1.56	2.40	
2014-15 *	BRK	28	20	29.6	13.79	5.79	11.68	.495	0.68	1.79	.380	1.54	2.54	.606	1.86	4.07	5.93	1.36	1.36	0.29	1.50	2.00	
2015-16	BRK	73	73	33.0	15.10	6.78	13.19	.514	0.10	0.41	.233	1.44	2.23	.644	2.41	6.63	9.04	1.85	1.53	0.51	1.86	2.49	
2016-17	IND	74	74	30.2	11.00	4.89	9.28	.527	0.61	1.59	.381	0.61	1.16	.523	1.77	4.28	6.05	1.65	1.53	0.39	1.30	1.82	
2017-18	IND	81	81	32.2	11.79	5.20	10.67	.487	0.72	2.23	.320	0.68	1.14	.598	2.27	4.05	6.32	1.88	1.67	0.44	1.30	2.16	
2018-19	IND	81	81	30.7	12.64	5.47	10.38	.527	0.63	1.80	.349	1.07	1.67	.644	2.37	4.09	6.46	2.52	1.52	0.44	1.52	2.40	
2019-20	CHI	64	16	24.9	10.30	4.20	9.39	.448	1.23	3.47	.356	0.66	1.12	.583	1.47	3.45	4.92	1.83	1.44	0.36	1.59	2.09	
2020-21	CHI	68	23	24.3	12.10	5.44	9.74	.559	0.18	0.66	.267	1.04	1.66	.628	2.47	3.75	6.22	4.28	1.09	0.59	2.01	2.24	
2021-22 *	All Teams	52	1	16.3	6.19	2.71	5.23	.518	0.33	0.92	.354	0.44	0.94	.469	1.54	2.46	4.00	2.00	1.04	0.35	1.00	1.56	
2021-22 *	SAN	26	1	14.3	6.08	2.85	4.92	.578	0.00	0.19	.000	0.38	0.85	.455	1.54	2.04	3.58	2.27	0.88	0.27	1.15	1.46	
2021-22 *	TOR	26	0	18.3	6.31	2.58	5.54	.465	0.65	1.65	.395	0.50	1.04	.481	1.54	2.88	4.42	1.73	1.19	0.42	0.85	1.65	
2022-23	TOR	54	9	14.7	4.44	2.00	3.67	.545	0.11	0.63	.176	0.33	0.48	.692	1.31	1.76	3.07	1.39	1.00	0.09	0.78	1.63	
CAREER	 	1139	720	28.6	12.37	5.34	10.62	.503	0.46	1.39	.328	1.24	1.87	.663	1.98	3.74	5.72	1.82	1.40	0.40	1.43	2.14	
