Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
1959-60	PHI	72	-	3338	2707	1065	2311	.461	-	-	-	577	991	.582	-	-	1941	168	-	-	-	150	
1960-61	PHI	79	-	3773	3033	1251	2457	.509	-	-	-	531	1054	.504	-	-	2149	148	-	-	-	130	
1961-62	PHI	80	-	3882	4029	1597	3159	.506	-	-	-	835	1363	.613	-	-	2052	192	-	-	-	123	
1962-63	GOS	80	-	3806	3586	1463	2770	.528	-	-	-	660	1113	.593	-	-	1946	275	-	-	-	136	
1963-64	GOS	80	-	3689	2948	1204	2298	.524	-	-	-	540	1016	.531	-	-	1787	403	-	-	-	182	
1964-65	All Teams	73	-	3301	2534	1063	2083	.510	-	-	-	408	880	.464	-	-	1673	250	-	-	-	146	
1965-66	PHL	79	-	3737	2649	1074	1990	.540	-	-	-	501	976	.513	-	-	1943	414	-	-	-	171	
1966-67	PHL	81	-	3682	1956	785	1150	.683	-	-	-	386	875	.441	-	-	1957	630	-	-	-	143	
1967-68	PHL	82	-	3836	1992	819	1377	.595	-	-	-	354	932	.380	-	-	1952	702	-	-	-	160	
1968-69	LAL	81	-	3669	1664	641	1099	.583	-	-	-	382	857	.446	-	-	1712	366	-	-	-	142	
1969-70 LAL	12	-	505	328	129	227	.568	-	-	-	70	157	.446	-	-	221	49	-	-	-	31	
1970-71	LAL	82	-	3630	1696	668	1226	.545	-	-	-	360	669	.538	-	-	1493	352	-	-	-	174	
1971-72	LAL	82	-	3469	1213	496	764	.649	-	-	-	221	524	.422	-	-	1572	329	-	-	-	196	
1972-73	LAL	82	-	3542	1084	426	586	.727	-	-	-	232	455	.510	-	-	1526	365	-	-	-	191	
