Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
1975-76	PHL	71	-	1,121	590	239	533	.448	-	-	-	112	186	.602	64	61	125	104	37	6	-	107	
1976-77	PHL	78	-	2,253	1,268	467	1,022	.457	-	-	-	334	464	.720	97	140	237	266	75	25	-	207	
1977-78	PHL	76	-	2,050	1,191	390	857	.455	-	-	-	411	562	.731	92	120	212	306	68	41	200	199	
1978-79	SDC	78	-	2,954	2,244	795	1,653	.481	-	-	-	654	865	.756	127	174	301	340	111	35	297	253	
1979-80
☆	SDC	68	-	2,585	2,055	737	1,556	.474	9	25	.360	572	760	.753	129	109	238	283	81	32	228	195	
1980-81	GOS	65	-	2,370	1,565	516	1,157	.446	5	31	.161	528	649	.814	48	111	159	361	85	11	195	183	
1981-82	GOS	78	78	2,796	1,789	650	1,452	.448	10	56	.179	479	647	.740	118	130	248	419	71	8	208	222	
1982-83 *	All Teams	73	69	2,638	1,743	649	1,423	.456	15	45	.333	430	583	.738	92	109	201	290	97	15	209	241	
1982-83 *	CLE	54	51	1,938	1,309	485	1,059	.458	15	42	.357	324	434	.747	70	87	157	201	82	12	159	175	
1982-83 *	GOS	19	18	700	434	164	364	.451	0	3	.000	106	149	.711	22	22	44	89	15	3	50	66	
1983-84	CLE	75	71	2,375	1,669	626	1,407	.445	22	69	.319	395	504	.784	89	128	217	226	94	8	154	214	
1984-85	CLE	71	50	2,249	1,597	609	1,328	.459	71	193	.368	308	411	.749	61	150	211	320	75	16	139	163	
1985-86	CLE	75	75	2,535	1,754	652	1,428	.457	71	169	.420	379	486	.780	74	142	216	315	91	20	170	186	
1986-87	PHL	20	2	285	116	39	123	.317	2	9	.222	36	47	.766	5	14	19	30	5	4	17	26	
1987-88	HOU	58	0	682	374	143	350	.409	8	35	.229	80	100	.800	14	30	44	60	20	3	49	74	
CAREER	 	886	387	26,893	17,955	6,512	14,289	.456	213	632	.337	4,718	6,264	.753	1,010	1,418	2,428	3,320	910	224	1,866	2,270	
