Season	Team	GP	GS	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	TOV	PF	
2001-02	POR	41	0	238	114	48	107	.449	0	0	.000	18	27	.667	31	38	69	13	7	4	15	29	
2002-03	POR	77	11	1,301	650	264	515	.513	0	5	.000	122	161	.758	139	204	343	41	42	14	62	141	
2003-04	POR	81	80	3,067	1,626	663	1,368	.485	1	5	.200	299	393	.761	242	609	851	163	68	41	247	227	
2004-05	POR	46	37	1,602	871	332	741	.448	0	6	.000	207	254	.815	142	300	442	86	34	17	112	112	
2005-06	POR	74	71	2,545.3	1,333	536	1,229	.436	16	55	.291	245	343	.714	193	399	592	144	57	14	165	185	
2006-07	POR	68	67	2,424.9	1,608	600	1,286	.467	14	48	.292	394	481	.819	199	489	688	147	53	15	215	184	
2007-08	NYK	69	68	2,244	1,217	486	1,058	.459	22	80	.275	223	289	.772	184	526	710	140	59	16	186	194	
2008-09 *	All Teams	50	45	1,756.4	1,041	415	873	.475	32	97	.330	179	244	.734	157	347	504	103	43	16	114	133	
2008-09 *	LAC	39	34	1,368.6	815	333	684	.487	25	73	.342	124	177	.701	117	250	367	88	30	13	91	105	
2008-09 *	NYK	11	11	387.8	226	82	189	.434	7	24	.292	55	67	.821	40	97	137	15	13	3	23	28	
2009-10
☆	MEM	81	81	3,050.9	1,681	652	1,336	.488	15	52	.288	362	465	.778	330	620	950	149	80	34	174	226	
2010-11	MEM	75	74	2,723.5	1,504	598	1,188	.503	8	43	.186	300	396	.758	326	588	914	163	63	25	151	175	
2011-12	MEM	28	8	735	324	132	285	.463	2	8	.250	58	88	.659	78	147	225	48	21	4	40	57	
2012-13
☆	MEM	76	75	2,607	1,169	471	1,024	.460	2	23	.087	225	300	.750	310	544	854	108	61	31	150	180	
2013-14	MEM	79	79	2,705	1,372	560	1,198	.467	2	20	.100	250	337	.742	265	530	795	200	54	23	183	210	
2014-15	MEM	71	71	2,303.7	1,143	454	932	.487	7	20	.350	228	298	.765	225	522	747	153	69	14	156	175	
2015-16	MEM	68	53	2,016.4	1,040	431	907	.475	6	26	.231	172	216	.796	179	350	529	142	43	13	105	146	
2016-17	MEM	73	5	1,786.3	1,028	433	964	.449	21	94	.223	141	193	.731	182	416	598	122	38	10	99	136	
2017-18	SAC	59	58	1,507.7	857	361	763	.473	51	147	.347	84	107	.785	97	300	397	127	42	10	116	119	
CAREER	 	1116	883	34,613.9	18,578	7,436	15,774	.471	199	729	.273	3,507	4,592	.764	3,279	6,929	10,208	2,049	834	301	2,290	2,629	
